,Player,Squad,Age,Born,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,Based,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,drTkl,Att,Tkl%,Lost,Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Position,Total Cmp%,TotDist,PrgDist,Short Cmp%,Medium Cmp%,Long Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,xG_On-Off,player_code,country_of_birth,sub_position,foot,height_in_cm,contract_expiration_date,market_value_in_eur
119,Joseph Whitworth,Crystal Palace,18,04,2.0,5,2.50,10,5,50.0,0,0.0,Premier League,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Goalkeeper,73.5,1486,886,100.0,97.3,38.2,0,0.0,0.0,0.0,0,0,0,0,0,0.00,1,5,-4,-2.00,-1.86,1.9,2.2,-0.2,-0.11,+0.13,joseph-whitworth04,,Goalkeeper,right,179.0,6/30/27 0:00,250000
120,Julen Agirrezabala,Athletic Club,21,00,7.5,6,0.80,19,13,68.4,2,28.6,La Liga,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Goalkeeper,71.0,4890,3600,100.0,96.8,43.2,0,0.0,0.0,0.0,0,2,0,0,0,0.75,5,6,-1,-0.13,-0.30,10.2,6.9,+3.3,+0.43,-0.03,julen-agirrezabala00,Spain,Goalkeeper,left,187.0,6/30/25 0:00,5000000
121,Sergio Asenjo,Valladolid,33,89,10.0,21,2.10,51,30,60.8,1,10.0,La Liga,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,2,Goalkeeper,66.0,7218,5138,100.0,95.5,44.8,0,0.0,0.0,0.0,0,4,0,0,0,0.80,7,21,-14,-1.40,-0.83,8.7,18.4,-9.7,-0.97,-0.36,sergio-asenjo89,Spain,Goalkeeper,right,189.0,6/30/24 0:00,1500000
122,Édgar Badía,Elche,30,92,36.0,63,1.75,200,136,72.0,4,11.1,La Liga,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,19,3,Goalkeeper,73.8,24081,17998,99.0,96.9,53.7,0,0.0,0.0,0.0,0,10,0,0,0,0.69,29,63,-34,-0.94,+0.56,35.8,67.0,-31.2,-0.87,-0.21,edgar-badia92,Spain,Goalkeeper,right,180.0,6/30/25 0:00,4000000
123,Claudio Bravo,Betis,39,83,12.0,9,0.75,42,33,81.0,4,33.3,La Liga,0,0,0,0,0,0,0,,0,0,0,0,2,2,1,1,Goalkeeper,59.2,7419,5674,100.0,97.8,38.2,0,0.0,0.0,0.0,0,5,1,0,1,1.67,13,9,+4,+0.33,+0.29,16.8,14.9,+1.9,+0.16,+0.18,claudio-bravo83,Chile,Goalkeeper,right,184.0,6/30/23 0:00,1000000
124,Juan Carlos,Girona,34,88,10.0,18,1.80,43,25,62.8,0,0.0,La Liga,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,1,Goalkeeper,84.7,7160,4635,98.1,96.6,59.5,0,0.0,0.0,0.0,0,1,0,0,0,0.80,14,18,-4,-0.40,-0.65,13.5,12.8,+0.7,+0.07,+0.24,juan-carlos88,Spain,Goalkeeper,,187.0,6/30/23 0:00,300000
125,Thibaut Courtois,Real Madrid,30,92,31.0,29,0.94,118,88,78.8,10,32.3,La Liga,1,0,1,0,0,1,1,100.0,0,0,0,0,3,4,7,1,Goalkeeper,86.3,23008,14737,99.5,98.8,57.5,0,0.4,0.0,-0.4,2,6,1,0,0,2.10,61,29,+32,+1.03,+0.03,61.5,32.3,+29.2,+0.94,-0.11,thibaut-courtois92,Belgium,Goalkeeper,left,200.0,6/30/26 0:00,60000000
126,Stole Dimitrievski,Rayo Vallecano,28,93,36.9,49,1.33,139,94,67.6,9,24.3,La Liga,1,0,1,0,0,1,2,50.0,1,2,0,2,1,2,17,3,Goalkeeper,61.4,20209,14772,100.0,98.5,36.5,0,0.0,0.0,0.0,1,21,0,0,0,1.32,44,49,-5,-0.14,+2.68,43.0,48.5,-5.5,-0.15,+0.67,stole-dimitrievski93,Macedonia,Goalkeeper,right,188.0,6/30/24 0:00,4000000
127,Marko Dmitrović,Sevilla,30,92,14.1,13,0.92,55,43,76.4,5,38.5,La Liga,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0,Goalkeeper,53.3,9990,8313,100.0,99.1,35.7,0,0.0,0.1,0.0,0,22,1,0,0,1.73,20,13,+7,+0.50,+1.08,18.2,16.4,+1.8,+0.13,+0.53,marko-dmitrovic92,Jugoslawien (SFR),Goalkeeper,left,189.0,6/30/25 0:00,4000000
128,Aitor Fernández,Osasuna,31,91,21.0,19,0.90,77,59,75.3,8,38.1,La Liga,1,1,1,0,0,0,1,0.0,1,0,0,0,2,3,17,0,Goalkeeper,65.3,18920,16063,97.8,96.7,50.7,0,0.0,0.1,0.0,0,33,0,0,1,1.67,23,19,+4,+0.19,+0.72,20.6,24.3,-3.6,-0.17,-0.04,aitor-fernandez91,Spain,Goalkeeper,right,182.0,6/30/25 0:00,3000000
129,Álvaro Fernández,Espanyol,24,98,11.0,18,1.64,50,33,64.0,2,18.2,La Liga,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,2,Goalkeeper,64.5,8998,7511,100.0,97.6,51.2,0,0.2,0.1,-0.2,1,16,0,0,0,1.33,17,18,-1,-0.09,+0.50,13.5,15.3,-1.8,-0.16,+0.20,alvaro-fernandez98,Spain,Goalkeeper,left,186.0,6/30/23 0:00,3000000
130,Joan García,Espanyol,21,01,1.0,3,3.00,4,1,50.0,0,0.0,La Liga,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Goalkeeper,86.7,521,425,100.0,100.0,55.6,0,0.0,0.0,0.0,0,0,0,0,0,1.00,3,3,0,0.00,+0.46,0.6,1.8,-1.2,-1.20,-0.92,joan-garcia01,Spain,Goalkeeper,right,191.0,6/30/25 0:00,400000
131,Paulo Gazzaniga,Girona,30,92,28.0,37,1.32,125,87,73.6,4,14.3,La Liga,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,9,5,Goalkeeper,73.2,21240,15708,100.0,97.2,46.1,0,0.2,0.0,-0.2,1,21,0,0,0,1.46,44,37,+7,+0.25,+0.65,37.2,42.1,-4.9,-0.18,-0.24,paulo-gazzaniga92,Argentina,Goalkeeper,right,196.0,6/30/23 0:00,2500000
132,David Gil,Cádiz,28,94,4.0,5,1.25,23,18,82.6,1,25.0,La Liga,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Goalkeeper,51.2,2769,2382,100.0,93.3,41.0,0,0.0,0.0,0.0,0,9,0,0,0,1.00,3,5,-2,-0.50,+0.12,6.1,8.2,-2.1,-0.53,0.00,david-gil94,Spain,Goalkeeper,right,186.0,6/30/25 0:00,700000
133,Ivo Grbić,Atlético Madrid,26,96,10.2,12,1.17,48,36,81.3,2,20.0,La Liga,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,1,Goalkeeper,66.4,6085,4302,98.3,100.0,42.3,0,0.0,0.0,0.0,0,0,0,0,0,1.92,28,13,+15,+1.46,+0.67,17.9,14.9,+3.0,+0.29,-0.35,ivo-grbic96,Croatia,Goalkeeper,right,195.0,6/30/24 0:00,3500000
134,Dominik Greif,Mallorca,25,97,1.0,3,3.00,8,5,62.5,0,0.0,La Liga,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Goalkeeper,60.5,1222,1170,,100.0,55.9,0,0.0,0.0,0.0,0,1,0,0,0,0.00,0,3,-3,-3.00,-2.92,0.1,3.6,-3.5,-3.52,-3.31,dominik-greif97,Slovakia,Goalkeeper,right,197.0,6/30/26 0:00,1500000
135,Sergio Herrera,Osasuna,29,93,17.0,23,1.35,71,48,69.0,3,17.6,La Liga,2,0,2,0,0,2,2,100.0,0,1,0,1,1,3,6,2,Goalkeeper,63.7,14092,11862,96.9,97.5,48.2,0,0.0,0.0,0.0,1,28,0,0,0,1.06,14,23,-9,-0.53,-0.72,19.2,21.4,-2.2,-0.13,+0.04,sergio-herrera93,Spain,Goalkeeper,right,192.0,,8000000
136,Filip Jørgensen,Villarreal,20,02,2.0,3,1.50,6,3,50.0,0,0.0,La Liga,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Goalkeeper,89.1,908,552,100.0,96.4,54.5,0,0.0,0.0,0.0,0,0,0,0,0,0.50,2,3,-1,-0.50,-1.06,2.4,2.8,-0.4,-0.19,-0.53,filip-jorgensen02,Sweden,Goalkeeper,right,190.0,6/30/25 0:00,1500000
137,Jeremías Ledesma,Cádiz,29,93,34.0,48,1.41,179,130,77.7,12,35.3,La Liga,3,2,3,0,0,3,7,42.9,4,1,0,1,2,5,23,3,Goalkeeper,52.5,22172,18695,96.7,97.0,37.0,0,0.0,0.1,0.0,1,42,1,0,0,1.12,27,48,-21,-0.62,-0.12,35.5,53.5,-18.0,-0.53,0.00,jeremias-ledesma93,Argentina,Goalkeeper,right,186.0,6/30/25 0:00,10000000
138,Diego López,Rayo Vallecano,40,81,1.1,4,3.75,5,1,20.0,0,0.0,La Liga,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Goalkeeper,75.9,462,309,87.5,100.0,40.0,0,0.0,0.0,0.0,0,0,0,0,0,0.00,1,4,-3,-2.81,-2.68,0.9,1.8,-0.9,-0.82,-0.67,diego-lopez81,Spain,Goalkeeper,right,196.0,6/30/23 0:00,500000
139,Andriy Lunin,Real Madrid,23,99,7.0,7,1.00,18,12,61.1,3,42.9,La Liga,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Goalkeeper,90.3,4750,3000,100.0,97.5,70.5,0,0.0,0.0,0.0,0,0,0,0,0,1.86,14,7,+7,+1.00,-0.03,14.0,6.7,+7.4,+1.05,+0.11,andriy-lunin99,Ukraine,Goalkeeper,right,191.0,6/30/24 0:00,5000000
140,Giorgi Mamardashvili,Valencia,21,00,38.0,45,1.18,148,105,70.9,7,18.4,La Liga,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,4,Goalkeeper,64.2,20406,15742,100.0,97.5,38.7,0,0.0,0.0,0.0,0,17,0,0,2,1.11,42,45,-3,-0.08,,49.3,43.5,+5.8,+0.15,,giorgi-mamardashvili00,Georgia,Goalkeeper,left,197.0,6/30/27 0:00,25000000
141,Agustín Marchesín,Celta Vigo,34,88,19.0,29,1.53,72,42,62.5,6,31.6,La Liga,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0,Goalkeeper,70.7,12898,9202,100.0,97.2,47.8,0,0.0,0.0,0.0,0,6,0,0,1,1.05,18,29,-11,-0.58,-0.63,21.2,19.7,+1.6,+0.08,+0.31,agustin-marchesin88,Argentina,Goalkeeper,right,188.0,6/30/25 0:00,3000000
142,Diego Mariño,Almería,32,90,0.5,2,4.00,5,3,60.0,0,,La Liga,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Goalkeeper,87.5,261,204,,100.0,75.0,0,0.0,0.0,0.0,0,0,0,0,0,0.00,0,2,-2,-4.00,-3.63,0.3,1.2,-0.9,-1.87,-1.44,diego-marino90,Spain,Goalkeeper,right,187.0,6/30/24 0:00,300000
143,Jordi Masip,Valladolid,33,89,27.9,42,1.51,145,101,74.5,8,28.6,La Liga,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,3,2,Goalkeeper,70.5,19683,14573,100.0,99.1,45.6,0,0.0,0.0,0.0,0,15,0,0,0,1.14,26,42,-16,-0.57,+0.81,29.5,46.6,-17.1,-0.61,+0.33,jordi-masip89,Spain,Goalkeeper,right,180.0,6/30/24 0:00,1000000
144,Jan Oblak,Atlético Madrid,29,93,27.7,20,0.72,79,59,75.9,11,39.3,La Liga,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,Goalkeeper,65.9,15674,11619,100.0,98.4,42.0,0,0.0,0.0,0.0,0,5,0,0,0,2.00,42,20,+22,+0.79,-0.66,44.0,26.1,+18.0,+0.65,+0.38,jan-oblak93,Slovenia,Goalkeeper,right,188.0,6/30/28 0:00,40000000
145,Fernando Pacheco,Espanyol,30,92,16.0,33,2.06,88,54,67.0,3,18.8,La Liga,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,11,0,Goalkeeper,71.6,12946,10565,98.2,98.9,52.9,0,0.2,0.1,-0.2,3,22,1,0,2,0.94,23,33,-10,-0.62,-0.31,23.1,31.4,-8.3,-0.52,-0.37,fernando-pacheco92,Spain,Goalkeeper,left,187.0,6/30/26 0:00,3000000
146,Iñaki Peña,Barcelona,23,99,0.8,2,2.47,4,2,50.0,0,,La Liga,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Goalkeeper,92.6,585,407,100.0,100.0,66.7,0,0.0,0.0,0.0,0,0,0,0,0,0.00,2,2,0,0.00,-1.34,1.2,1.4,-0.2,-0.29,-1.43,inaki-pena99,Spain,Goalkeeper,right,184.0,6/30/26 0:00,4000000
147,Predrag Rajković,Mallorca,26,95,36.0,40,1.11,133,92,74.4,12,33.3,La Liga,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,16,1,Goalkeeper,59.3,28066,23317,98.7,98.7,45.2,0,0.5,0.1,-0.5,4,51,1,0,3,1.31,34,40,-6,-0.17,-0.17,32.9,41.7,-8.8,-0.25,+0.95,predrag-rajkovic95,Yugoslavia (Republic),Goalkeeper,right,192.0,6/30/26 0:00,10000000
