,Player,Squad,Age,Born,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,Based,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,drTkl,Att,Tkl%,Lost,Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Position,Total Cmp%,TotDist,PrgDist,Short Cmp%,Medium Cmp%,Long Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,xG_On-Off,player_code,country_of_birth,sub_position,foot,height_in_cm,contract_expiration_date,market_value_in_eur
218,Vito Mannone,Lorient,34,88,17.9,24,1.34,84,60,72.6,5,29.4,Ligue 1,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,3,Goalkeeper,76.2,10835,7099,98.9,98.8,41.8,0,0.0,0.0,0.0,0,2,0,0,0,1.00,19,24,-5,-0.28,-0.48,17.6,28.7,-11.0,-0.62,-0.49,vito-mannone88,Italy,Goalkeeper,right,189.0,6/30/23 0:00,300000
219,Yvon Mvogo,Lorient,28,94,20.1,29,1.44,98,70,71.4,3,14.3,Ligue 1,0,0,0,0,0,0,0,,0,0,0,0,2,2,6,3,Goalkeeper,74.9,12098,8637,100.0,100.0,47.4,0,0.0,0.0,0.0,0,5,0,0,0,1.76,33,29,+4,+0.20,+0.48,26.9,29.5,-2.6,-0.13,+0.49,yvon-mvogo94,Cameroon,Goalkeeper,right,190.0,6/30/24 0:00,3500000
220,Alexander Nübel,Monaco,25,96,38.0,58,1.53,195,140,72.8,9,23.7,Ligue 1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,10,3,Goalkeeper,74.6,25434,18986,99.2,97.5,56.9,0,0.0,0.3,0.0,1,4,0,0,1,1.71,70,58,+12,+0.32,,62.1,53.2,+8.9,+0.23,,alexander-nubel96,Germany,Goalkeeper,right,193.0,6/30/23 0:00,10000000
221,Ghjuvanni Quilichini,Ajaccio,19,02,0.9,0,0.00,4,4,100.0,1,,Ligue 1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Goalkeeper,41.2,511,427,100.0,100.0,28.6,0,0.0,0.0,0.0,0,0,0,0,0,3.00,1,0,+1,+1.10,+2.50,0.5,0.5,0.0,-0.05,+0.43,ghjuvanni-quilichini02,France,Goalkeeper,,182.0,6/30/23 0:00,200000
222,Rémy Riou,Lyon,34,87,6.7,8,1.20,24,17,83.3,1,16.7,Ligue 1,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,3,0,Goalkeeper,79.6,3959,3001,95.6,97.1,43.8,0,0.0,0.0,0.0,0,0,0,0,1,1.86,11,8,+3,+0.45,-0.03,11.1,8.6,+2.5,+0.38,+0.16,remy-riou87,France,Goalkeeper,right,191.0,6/30/24 0:00,400000
223,Brice Samba,Lens,28,94,37.0,28,0.76,125,98,80.0,15,40.5,Ligue 1,1,0,1,0,0,1,2,50.0,1,1,0,1,0,1,12,2,Goalkeeper,75.8,25038,16717,99.5,98.3,52.7,0,0.1,0.0,-0.1,1,17,1,0,1,2.19,65,28,+37,+1.00,-1.00,64.0,40.2,+23.7,+0.64,+1.14,brice-samba94,Congo,Goalkeeper,right,187.0,6/30/27 0:00,10000000
224,Kasper Schmeichel,Nice,35,86,36.0,35,0.97,141,105,77.3,11,30.6,Ligue 1,1,0,1,0,0,1,4,25.0,3,1,0,1,1,2,11,1,Goalkeeper,77.3,25553,18698,100.0,97.4,56.4,0,0.4,0.0,-0.4,2,8,0,0,0,1.58,47,35,+12,+0.33,+0.83,54.6,42.3,+12.4,+0.34,+0.24,kasper-schmeichel86,Denmark,Goalkeeper,right,189.0,6/30/25 0:00,2500000
225,Matz Sels,Strasbourg,30,92,38.0,59,1.55,174,115,71.8,6,15.8,Ligue 1,4,3,4,0,0,4,4,100.0,0,0,0,0,4,8,23,0,Goalkeeper,65.4,18508,14417,98.4,97.8,42.2,0,0.3,0.0,-0.3,1,17,0,0,0,1.05,51,59,-8,-0.21,,48.5,55.4,-6.8,-0.18,,matz-sels92,Belgium,Goalkeeper,right,188.0,6/30/26 0:00,8000000
226,François-Joseph Sollacaro,Ajaccio,28,94,6.0,14,2.33,24,11,45.8,1,16.7,Ligue 1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,2,Goalkeeper,47.9,2073,1580,100.0,90.0,28.3,0,0.0,0.0,0.0,0,1,0,0,0,0.57,3,15,-12,-2.00,-0.78,5.5,9.6,-4.2,-0.69,-0.27,francois-joseph-sollacaro94,France,Goalkeeper,right,182.0,6/30/24 0:00,300000
227,Scott Bain,Celtic,30,91,1.0,4,4.00,8,5,62.5,0,0.0,Scottish Premiership,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,0.00,2,4,-2,-2.00,-4.22,,,,,,scott-bain91,Scotland,Goalkeeper,right,183.0,5/31/24 0:00,650000
228,Mark Birighitti,Dundee United,31,91,25.9,41,1.58,128,91,71.1,4,15.4,Scottish Premiership,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,0.88,29,41,-12,-0.46,+1.03,,,,,,mark-birighitti91,Australia,Goalkeeper,both,188.0,5/31/24 0:00,375000
229,Trevor Carson,St Mirren,34,88,37.0,58,1.57,141,94,66.0,10,27.0,Scottish Premiership,,1,,,,,,,,,,,2,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.24,43,58,-15,-0.41,+2.59,,,,,,trevor-carson88,Northern Ireland,Goalkeeper,right,185.0,5/31/25 0:00,350000
230,Zander Clark,Hearts,30,92,19.7,27,1.37,80,56,70.0,5,25.0,Scottish Premiership,,2,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.43,35,27,+8,+0.41,+0.52,,,,,,zander-clark92,Scotland,Goalkeeper,right,191.0,5/31/25 0:00,550000
231,Shamal George,Livingston,24,98,31.5,47,1.49,112,74,65.2,7,21.9,Scottish Premiership,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.38,32,47,-15,-0.48,+0.90,,,,,,shamal-george98,England,Goalkeeper,right,198.0,5/31/26 0:00,325000
232,Craig Gordon,Hearts,39,82,15.8,26,1.64,81,58,70.4,1,6.3,Scottish Premiership,,0,,,,,,,,,,,1,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.56,28,26,+2,+0.13,-0.05,,,,,,craig-gordon82,Scotland,Goalkeeper,left,193.0,5/31/24 0:00,450000
233,Jay Gorter,Aberdeen,22,00,4.0,6,1.50,16,12,75.0,1,25.0,Scottish Premiership,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,2.25,7,6,+1,+0.25,+0.40,,,,,,jay-gorter00,Netherlands,Goalkeeper,right,190.0,6/30/23 0:00,1300000
234,Jack Hamilton,Livingston,28,94,2.5,5,1.98,8,4,50.0,0,0.0,Scottish Premiership,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,0.33,1,5,-4,-1.59,-1.02,,,,,,jack-hamilton94,Scotland,Goalkeeper,right,190.0,5/31/24 0:00,250000
235,Joe Hart,Celtic,35,87,37.0,30,0.81,78,54,70.5,16,43.2,Scottish Premiership,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,2.68,112,30,+82,+2.22,+4.22,,,,,,joe-hart87,England,Goalkeeper,right,196.0,5/31/24 0:00,1700000
236,Zachary Hemming,Kilmarnock,22,00,10.0,19,1.90,42,25,59.5,2,20.0,Scottish Premiership,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,0.80,8,19,-11,-1.10,-0.60,,,,,,zachary-hemming00,England,Goalkeeper,,,5/31/23 0:00,300000
237,Liam Kelly,Motherwell,26,96,38.0,51,1.34,142,96,66.2,11,28.9,Scottish Premiership,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,1,,,,,,,,,1.32,53,51,+2,+0.05,,,,,,,liam-kelly96,Scotland,Goalkeeper,right,184.0,5/31/24 0:00,600000
238,Ross Laidlaw,Ross County,30,92,38.0,60,1.58,177,124,70.1,9,23.7,Scottish Premiership,,2,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,0.89,37,60,-23,-0.61,,,,,,,ross-laidlaw92,Scotland,Goalkeeper,right,201.0,5/31/26 0:00,400000
239,Joe Lewis,Aberdeen,34,87,3.0,14,4.67,17,5,29.4,0,0.0,Scottish Premiership,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,0.00,1,14,-13,-4.33,-4.59,,,,,,joe-lewis87,England,Goalkeeper,right,198.0,5/31/24 0:00,350000
240,David Marshall,Hibernian,37,85,38.0,59,1.55,130,82,62.3,11,28.9,Scottish Premiership,,2,,,,,,,,,,,2,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.37,57,59,-2,-0.05,,,,,,,david-marshall85,Scotland,Goalkeeper,right,187.0,5/31/24 0:00,250000
241,Remi Matthews,St Johnstone,28,94,34.0,54,1.59,138,88,63.8,6,17.6,Scottish Premiership,,3,,,,,,,,,,,1,,,,Goalkeeper,,,,,,,0,,,,,,,,,0.97,32,54,-22,-0.65,-1.65,,,,,,remi-matthews94,England,Goalkeeper,right,192.0,5/31/23 0:00,350000
242,Robby McCrorie,Rangers,24,98,4.0,1,0.25,8,7,87.5,3,75.0,Scottish Premiership,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,3.00,10,1,+9,+2.25,+0.87,,,,,,robby-mccrorie98,Scotland,Goalkeeper,right,188.0,5/31/25 0:00,400000
243,Allan McGregor,Rangers,40,82,24.0,26,1.08,62,36,58.1,8,33.3,Scottish Premiership,,0,,,,,,,,,,,1,,,,Goalkeeper,,,,,,,0,,,,,,,,,2.29,61,26,+35,+1.46,-0.04,,,,,,allan-mcgregor82,Scotland,Goalkeeper,right,183.0,5/31/23 0:00,400000
244,Jon McLaughlin,Rangers,34,87,10.0,10,1.00,25,15,60.0,5,50.0,Scottish Premiership,,0,,,,,,,,,,,1,,,,Goalkeeper,,,,,,,0,,,,,,,,,2.50,22,10,+12,+1.20,-0.37,,,,,,jon-mclaughlin87,Scotland,Goalkeeper,,191.0,5/31/24 0:00,350000
245,Jack Newman,Dundee United,20,02,3.1,10,3.26,21,11,52.4,0,0.0,Scottish Premiership,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,0.00,2,10,-8,-2.61,-1.98,,,,,,jack-newman02,England,Goalkeeper,,188.0,5/31/23 0:00,150000
246,Elliot Parish,St Johnstone,32,90,2.0,2,1.00,8,6,75.0,0,0.0,Scottish Premiership,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,3.00,4,2,+2,+1.00,+1.56,,,,,,elliot-parish90,England,Goalkeeper,right,188.0,5/31/23 0:00,225000
247,Kelle Roos,Aberdeen,30,92,31.0,40,1.29,136,103,74.3,13,41.9,Scottish Premiership,,1,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.55,48,40,+8,+0.26,+1.97,,,,,,kelle-roos92,Netherlands,Goalkeeper,right,196.0,5/31/24 0:00,450000
248,Ross Sinclair,St Johnstone,21,01,2.0,3,1.50,11,9,81.8,1,50.0,Scottish Premiership,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,2.00,5,3,+2,+1.00,+1.56,,,,,,ross-sinclair01,Scotland,Goalkeeper,right,197.0,5/31/24 0:00,50000
249,Ross Stewart,Hearts,27,95,2.5,4,1.60,11,7,63.6,0,0.0,Scottish Premiership,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,0.00,0,4,-4,-1.60,-1.88,,,,,,ross-stewart95,Scotland,Goalkeeper,right,191.0,5/31/23 0:00,200000
250,Peter Urminský,St Mirren,23,99,1.0,3,3.00,3,0,0.0,0,0.0,Scottish Premiership,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,0.00,0,3,-3,-3.00,-2.59,,,,,,peter-urminsky99,,Goalkeeper,right,198.0,5/31/24 0:00,75000
251,Sam Walker,Kilmarnock,30,91,28.0,43,1.54,131,92,69.5,6,21.4,Scottish Premiership,,0,,,,,,,,,,,1,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.14,29,43,-14,-0.50,+0.60,,,,,,sam-walker91,England,Goalkeeper,,196.0,5/31/23 0:00,400000
252,Arnaud Bodart,Standard Liège,24,98,34.0,46,1.35,141,98,71.6,11,32.4,Jupiler Pro League,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,14,0,Goalkeeper,71.8,18783,13407,98.8,99.5,40.6,1,0.7,0.0,+0.3,2,3,1,0,1,1.43,56,46,+10,+0.29,-269.71,51.9,43.8,+8.1,+0.25,+0.32,arnaud-bodart98,Belgium,Goalkeeper,right,186.0,6/30/25 0:00,3500000
253,Sinan Bolat,Westerlo,33,88,33.0,51,1.55,154,103,72.7,10,30.3,Jupiler Pro League,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,13,2,Goalkeeper,73.6,30197,19469,97.2,97.0,55.8,0,0.0,0.0,0.0,0,12,0,0,3,1.44,61,51,+10,+0.30,+2.30,50.7,46.7,+4.1,+0.12,+2.81,sinan-bolat88,Turkey,Goalkeeper,right,186.0,6/30/26 0:00,1300000
254,Sammy Bossut,Zulte Waregem,36,85,22.0,50,2.27,114,65,60.5,2,9.1,Jupiler Pro League,2,1,2,0,0,2,3,66.7,1,1,0,1,0,2,12,2,Goalkeeper,74.2,20849,15333,93.1,97.4,58.8,0,0.0,0.0,0.0,0,10,0,0,0,0.68,25,50,-25,-1.14,-0.89,25.8,35.0,-9.2,-0.42,+0.05,sammy-bossut85,Belgium,Goalkeeper,left,186.0,6/30/23 0:00,100000
255,Louis Bostyn,Zulte Waregem,28,93,12.0,28,2.33,73,46,65.8,0,0.0,Jupiler Pro League,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Goalkeeper,63.6,11446,10043,95.2,97.6,53.7,0,0.0,0.3,0.0,1,20,1,0,0,1.00,25,28,-3,-0.25,+0.89,19.8,25.5,-5.7,-0.47,-0.05,louis-bostyn93,Belgium,Goalkeeper,right,195.0,6/30/24 0:00,350000
256,Jean Butez,Antwerp,27,95,34.0,26,0.76,101,75,76.2,19,55.9,Jupiler Pro League,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,12,1,Goalkeeper,78.1,29350,21966,100.0,98.8,57.7,0,0.0,0.1,0.0,0,13,1,0,0,2.08,59,26,+33,+0.97,,51.9,29.5,+22.4,+0.66,,jean-butez95,France,Goalkeeper,right,189.0,6/30/26 0:00,6000000
257,Valentin Cojocaru,OH Leuven,26,95,34.0,48,1.41,152,103,73.0,8,23.5,Jupiler Pro League,3,1,3,0,0,1,3,33.3,2,1,0,1,3,6,17,3,Goalkeeper,77.6,24112,17075,98.4,98.0,46.7,0,0.2,0.0,-0.2,3,18,0,0,0,1.41,56,48,+8,+0.24,,54.0,49.3,+4.6,+0.14,,valentin-cojocaru95,Romania,Goalkeeper,right,195.0,6/30/25 0:00,900000
258,Jo Coppens,Sint-Truiden,31,90,3.1,4,1.28,11,7,63.6,1,33.3,Jupiler Pro League,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Goalkeeper,61.7,2244,1713,85.7,100.0,47.9,0,0.0,0.0,0.0,0,2,0,0,0,0.80,2,7,-5,-1.60,-1.67,1.8,2.9,-1.1,-0.34,-0.31,jo-coppens90,Belgium,Goalkeeper,left,190.0,6/30/25 0:00,300000
259,Gaëtan Coucke,Mechelen,23,98,28.9,51,1.77,145,94,67.6,7,24.1,Jupiler Pro League,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,0,Goalkeeper,73.4,20422,14356,100.0,98.9,48.9,0,0.0,0.1,0.0,0,13,1,0,2,1.38,39,51,-12,-0.42,-0.02,32.9,43.7,-10.8,-0.39,+0.57,gaetan-coucke98,Belgium,Goalkeeper,right,187.0,6/30/24 0:00,1000000
260,Guillaume Dietsch,R.F.C. Seraing,21,01,23.0,47,2.04,122,75,63.9,1,4.3,Jupiler Pro League,1,0,1,0,0,0,2,0.0,2,0,0,0,1,2,16,2,Goalkeeper,59.9,17487,14519,98.1,97.8,44.9,0,0.0,0.0,0.0,0,11,0,0,0,0.61,17,47,-30,-1.30,-0.40,16.5,37.1,-20.6,-0.89,-0.15,guillaume-dietsch01,France,Goalkeeper,right,184.0,6/30/23 0:00,900000
261,Timothy Galje,R.F.C. Seraing,21,01,7.0,15,2.14,33,19,63.6,0,0.0,Jupiler Pro League,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,Goalkeeper,46.0,4140,3437,94.1,100.0,33.5,0,0.0,0.0,0.0,0,2,0,0,0,0.29,6,15,-9,-1.29,-0.14,6.2,11.1,-4.9,-0.70,+0.19,timothy-galje01,,Goalkeeper,,180.0,6/30/23 0:00,250000
262,Nick Gillekens,Westerlo,27,95,1.0,2,2.00,5,3,60.0,0,0.0,Jupiler Pro League,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Goalkeeper,80.9,1020,713,100.0,100.0,60.9,0,0.0,0.0,0.0,0,0,0,0,0,0.75,0,2,-2,-2.00,-2.30,0.3,3.0,-2.7,-2.69,-2.81,nick-gillekens95,Belgium,Goalkeeper,right,186.0,6/30/26 0:00,350000
263,Guillaume Hubert,Oostende,28,94,22.0,45,2.05,109,62,61.5,3,13.6,Jupiler Pro League,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,6,3,Goalkeeper,59.5,15221,12858,93.8,98.0,45.7,1,0.2,0.0,+0.8,1,12,0,0,0,0.91,25,45,-20,-0.91,+0.67,28.5,40.8,-12.3,-0.56,-0.23,guillaume-hubert94,Belgium,Goalkeeper,right,198.0,6/30/23 0:00,600000
264,Hervé Koffi,Charleroi,25,96,28.0,37,1.32,126,90,73.0,8,28.6,Jupiler Pro League,1,1,1,0,0,1,3,33.3,2,1,0,1,2,3,11,1,Goalkeeper,70.2,20295,16470,100.0,96.7,53.4,0,0.1,0.1,-0.1,2,27,1,0,0,1.46,39,37,+2,+0.07,+1.57,37.2,36.5,+0.7,+0.03,-0.03,herve-koffi96,Burkina Faso,Goalkeeper,right,186.0,6/30/24 0:00,1500000
265,Radosław Majecki,Cercle Brugge,22,99,27.5,37,1.35,111,73,76.6,6,21.4,Jupiler Pro League,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,15,1,Goalkeeper,47.0,14373,12628,97.6,92.9,35.9,0,0.0,0.1,0.0,1,32,0,0,0,1.50,41,37,+4,+0.15,+0.15,42.8,36.2,+6.6,+0.24,+0.45,radoslaw-majecki99,Poland,Goalkeeper,right,193.0,6/30/23 0:00,2500000
266,Timothy Martin,R.F.C. Seraing,21,01,4.0,6,1.50,16,10,62.5,0,0.0,Jupiler Pro League,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Goalkeeper,52.3,1898,1550,100.0,100.0,32.0,0,0.0,0.0,0.0,0,3,0,0,0,1.00,5,6,-1,-0.25,+1.05,3.1,6.4,-3.3,-0.82,+0.03,timothy-martin01,Belgium,Goalkeeper,left,190.0,,100000
267,Simon Mignolet,Club Brugge,34,88,34.0,36,1.06,121,86,71.9,13,38.2,Jupiler Pro League,0,0,0,0,0,0,0,,0,1,0,1,0,0,8,3,Goalkeeper,73.7,27628,21792,100.0,100.0,55.6,0,0.0,0.1,0.0,0,18,1,0,2,1.63,61,36,+25,+0.74,,58.9,36.6,+22.3,+0.66,,simon-mignolet88,Belgium,Goalkeeper,right,193.0,6/30/26 0:00,5000000
268,Anthony Moris,Union SG,32,90,34.0,41,1.21,109,68,68.8,8,23.5,Jupiler Pro League,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,7,0,Goalkeeper,75.5,29747,21470,96.8,97.4,61.0,0,0.1,0.1,-0.1,1,33,5,0,0,2.08,70,41,+29,+0.85,,54.2,38.2,+16.0,+0.47,,anthony-moris90,Belgium,Goalkeeper,left,186.0,6/30/26 0:00,1500000
269,Lennart Moser,Eupen,22,99,30.5,66,2.16,173,108,65.9,5,16.7,Jupiler Pro League,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,13,3,Goalkeeper,65.8,18218,13039,97.4,97.8,43.1,0,0.0,0.0,0.0,0,16,0,0,0,0.81,35,66,-31,-1.02,+0.13,36.1,56.3,-20.2,-0.66,-0.28,lennart-moser99,Germany,Goalkeeper,left,196.0,6/30/25 0:00,600000
270,Paul Nardi,Gent,28,94,24.0,24,1.00,76,52,73.7,11,45.8,Jupiler Pro League,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,14,0,Goalkeeper,72.7,14032,10134,100.0,98.1,49.4,0,0.0,0.0,0.0,0,3,0,0,0,1.93,48,24,+24,+1.00,+0.80,38.2,23.6,+14.6,+0.61,-0.04,paul-nardi94,France,Goalkeeper,right,188.0,6/30/24 0:00,2500000
271,Manaf Nurudeen,Eupen,23,99,3.5,9,2.57,24,15,62.5,0,0.0,Jupiler Pro League,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,Goalkeeper,69.4,2423,1702,92.9,100.0,40.0,0,0.0,0.0,0.0,0,0,0,0,0,0.75,5,9,-4,-1.14,-0.13,3.9,5.3,-1.3,-0.38,+0.28,manaf-nurudeen99,Ghana,Goalkeeper,right,189.0,6/30/26 0:00,400000
272,Pierre Patron,Charleroi,24,97,6.0,10,1.67,26,17,61.5,1,16.7,Jupiler Pro League,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Goalkeeper,63.0,4164,3205,100.0,100.0,40.6,0,0.0,0.0,0.0,0,5,0,0,0,1.17,7,10,-3,-0.50,-0.36,7.3,6.9,+0.4,+0.07,+0.04,pierre-patron97,France,Goalkeeper,right,191.0,6/30/24 0:00,700000
273,Dillon Phillips,Oostende,27,95,12.0,31,2.58,57,25,49.1,0,0.0,Jupiler Pro League,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,6,0,Goalkeeper,52.2,6956,5918,100.0,96.2,34.1,0,0.0,0.0,0.0,1,14,0,0,1,0.58,12,31,-19,-1.58,-0.67,16.7,20.7,-4.0,-0.33,+0.23,dillon-phillips95,England,Goalkeeper,right,188.0,6/30/23 0:00,600000
274,Davy Roef,Gent,28,94,10.0,14,1.40,39,25,71.8,2,20.0,Jupiler Pro League,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Goalkeeper,80.1,7190,5705,100.0,100.0,62.7,0,0.0,0.0,0.0,0,1,0,0,0,1.55,16,14,+2,+0.20,-0.80,17.2,10.7,+6.5,+0.65,+0.04,davy-roef94,Belgium,Goalkeeper,right,187.0,6/30/25 0:00,2000000
275,Daniel Schmidt,Sint-Truiden,30,92,30.9,36,1.17,116,82,73.3,8,25.8,Jupiler Pro League,2,0,2,0,0,2,3,66.7,1,0,0,0,1,3,8,1,Goalkeeper,66.9,26935,20099,98.8,98.1,51.5,0,0.0,0.1,0.0,1,18,0,0,1,1.23,35,36,-1,-0.03,+0.61,35.5,36.4,-0.9,-0.03,+0.31,daniel-schmidt92,United States,Goalkeeper,right,197.0,,1500000
276,Yannick Thoelen,Mechelen,32,90,5.1,13,2.54,21,9,61.9,0,0.0,Jupiler Pro League,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,Goalkeeper,73.9,3409,2145,96.3,97.5,42.1,0,0.0,0.0,0.0,0,2,0,0,0,0.50,5,13,-8,-1.57,-1.36,2.7,8.6,-5.9,-1.15,-0.77,yannick-thoelen90,Belgium,Goalkeeper,right,188.0,6/30/25 0:00,300000
277,Hendrik Van Crombrugge,Anderlecht,29,93,17.0,23,1.35,62,40,66.1,3,17.6,Jupiler Pro League,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,0,Goalkeeper,80.1,11441,7288,98.8,98.4,53.7,0,0.0,0.0,0.0,0,1,0,0,2,1.18,26,23,+3,+0.18,+0.18,20.9,19.6,+1.3,+0.08,+0.12,hendrik-van-crombrugge93,Belgium,Goalkeeper,left,187.0,6/30/25 0:00,2500000
278,Tom Vandenberghe,Kortrijk,29,92,17.0,28,1.65,81,56,67.9,4,23.5,Jupiler Pro League,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,0,Goalkeeper,63.3,13181,10774,100.0,100.0,47.2,0,0.0,0.1,0.0,0,17,0,0,0,1.12,23,28,-5,-0.29,+0.82,19.5,30.3,-10.8,-0.64,+0.30,tom-vandenberghe92,,Goalkeeper,right,190.0,6/30/25 0:00,575000
279,Maarten Vandevoordt,Genk,20,02,34.0,37,1.09,141,103,77.3,8,23.5,Jupiler Pro League,1,0,1,0,0,0,0,,0,0,0,0,2,3,7,2,Goalkeeper,78.7,23858,16580,99.3,99.1,56.1,0,0.0,0.0,0.0,0,10,0,0,0,2.08,78,37,+41,+1.21,,63.4,39.3,+24.0,+0.71,,maarten-vandevoordt02,Belgium,Goalkeeper,right,192.0,6/30/26 0:00,9000000
280,Bart Verbruggen,Anderlecht,19,02,17.0,21,1.24,83,64,74.7,8,47.1,Jupiler Pro League,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Goalkeeper,75.9,16528,11884,98.9,97.7,54.2,0,0.0,0.1,0.0,0,22,1,0,2,1.53,24,21,+3,+0.18,+0.18,23.3,24.0,-0.7,-0.04,-0.12,bart-verbruggen02,Netherlands,Goalkeeper,right,194.0,6/30/25 0:00,5000000
281,Warleson,Cercle Brugge,25,96,6.5,9,1.38,31,22,74.2,0,0.0,Jupiler Pro League,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Goalkeeper,46.5,3769,3440,100.0,94.7,38.2,0,0.0,0.0,0.0,0,10,0,0,0,1.57,9,9,0,0.00,-0.15,8.7,10.1,-1.3,-0.20,-0.45,warleson96,,Goalkeeper,right,190.0,6/30/26 0:00,500000
282,Norbert Alblas,Excelsior,27,94,0.3,0,0.00,2,2,100.0,0,,Eredivisie,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Goalkeeper,60.0,169,137,100.0,100.0,20.0,0,0.0,0.0,0.0,0,0,0,0,0,0.00,1,0,+1,+3.21,+4.40,1.8,0.4,+1.3,+4.34,+5.32,norbert-alblas94,Netherlands,Goalkeeper,right,186.0,6/30/24 0:00,275000
283,Vasilios Barkas,Utrecht,28,94,32.0,50,1.56,154,104,68.2,10,31.3,Eredivisie,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,Goalkeeper,73.3,21842,15905,99.3,98.6,49.1,0,0.0,0.1,0.0,0,19,0,0,0,1.56,54,50,+4,+0.12,-0.38,46.8,44.0,+2.8,+0.09,-0.45,vasilios-barkas94,Greece,Goalkeeper,left,196.0,6/30/23 0:00,3000000
284,Jan Bekkema,Heerenveen,26,96,0.0,0,0.00,0,0,,1,,Eredivisie,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Goalkeeper,50.0,64,64,,,50.0,0,0.0,0.0,0.0,0,0,0,0,0,3.00,0,0,0,0.00,+0.18,0.1,0.2,-0.1,-13.37,-13.18,jan-bekkema96,Netherlands,Goalkeeper,right,186.0,6/30/23 0:00,50000
285,Walter Benítez,PSV Eindhoven,29,93,30.0,35,1.17,106,71,68.9,10,33.3,Eredivisie,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,9,1,Goalkeeper,73.2,18073,13823,99.2,97.9,49.2,0,0.0,0.1,0.0,0,15,0,0,0,2.17,78,35,+43,+1.43,-0.07,70.7,28.3,+42.4,+1.41,-0.35,walter-benitez93,Argentina,Goalkeeper,right,191.0,6/30/25 0:00,12000000
