,player_name,age,fee,transfer_period,season,Squad,player_code
2647,Tiago Gouveia,21.0,0.0,Summer,2022/2023,Estoril,tiago-gouveia01
2648,Erison,23.0,0.0,Summer,2022/2023,Estoril,erison99
2649,João Carvalho,25.0,0.0,Summer,2022/2023,Estoril,joao-carvalho97
2650,Gonçalo Esteves,18.0,0.0,Summer,2022/2023,Estoril,goncalo-esteves04
2652,Mabrouk Rouaï,21.0,0.0,Summer,2022/2023,Estoril,mabrouk-rouai00
2653,Shaquil Delos,23.0,0.0,Summer,2022/2023,Estoril,shaquil-delos99
2655,Mor Ndiaye,21.0,0.0,Summer,2022/2023,Estoril,mor-ndiaye00
2656,Mexer,33.0,0.0,Summer,2022/2023,Estoril,mexer88
2663,Pablo Moreno,20.0,0.0,Summer,2022/2023,Marítimo,pablo-moreno02
2664,Joel Soñora,25.0,0.0,Summer,2022/2023,Marítimo,joel-sonora96
2665,João Afonso,27.0,0.0,Summer,2022/2023,Marítimo,joao-afonso-crispim95
2666,Matous Trmal,23.0,50000.0,Summer,2022/2023,Marítimo,matous-trmal98
2700,Gonzalo Plata,21.0,3000000.0,Summer,2022/2023,Valladolid,gonzalo-plata00
2723,António Silva,18.0,0.0,Summer,2022/2023,Benfica,antonio-silva03
2724,Samuel Soares,20.0,0.0,Summer,2022/2023,Benfica,samuel-soares02
2725,Henrique Araújo,20.0,0.0,Summer,2022/2023,Benfica,henrique-araujo02
2731,Alexander Bah,24.0,8000000.0,Summer,2022/2023,Benfica,alexander-bah97
2732,João Victor,23.0,9500000.0,Summer,2022/2023,Benfica,joao-victor98
2734,Fredrik Aursnes,26.0,13000000.0,Summer,2022/2023,Benfica,fredrik-aursnes95
2735,David Neres,25.0,15300000.0,Summer,2022/2023,Benfica,david-neres97
2742,Carraça,29.0,0.0,Summer,2022/2023,Gil Vicente FC,carraca93
2748,Francisco Conceição,19.0,5000000.0,Summer,2022/2023,Ajax,francisco-conceicao02
2761,Marko Grujic,26.0,9000000.0,Summer,2022/2023,Porto,marko-grujic96
2762,Gabriel Veron,19.0,10500000.0,Summer,2022/2023,Porto,gabriel-veron02
2763,David Carmo,22.0,20000000.0,Summer,2022/2023,Porto,david-carmo99
2776,José Marsà,20.0,0.0,Summer,2022/2023,Sporting CP,jose-marsa02
2777,Flávio Nazinho,18.0,0.0,Summer,2022/2023,Sporting CP,flavio-nazinho03
2778,Rodrigo Ribeiro,17.0,0.0,Summer,2022/2023,Sporting CP,rodrigo-ribeiro05
2780,Mateus Fernandes,17.0,0.0,Summer,2022/2023,Sporting CP,mateus-fernandes04
2781,Franco Israel,22.0,650000.0,Summer,2022/2023,Sporting CP,franco-israel00
2782,Rochinha,27.0,2000000.0,Summer,2022/2023,Sporting CP,rochinha95
2783,Francisco Trincão,22.0,3000000.0,Summer,2022/2023,Sporting CP,francisco-trincao99
2784,Hidemasa Morita,27.0,3800000.0,Summer,2022/2023,Sporting CP,hidemasa-morita95
2786,Sotiris Alexandropoulos,20.0,4500000.0,Summer,2022/2023,Sporting CP,sotiris-alexandropoulos01
2787,Pedro Porro,22.0,8500000.0,Summer,2022/2023,Sporting CP,pedro-porro99
2789,Rúben Vinagre,23.0,10000000.0,Summer,2022/2023,Sporting CP,ruben-vinagre99
2791,Chiquinho,26.0,0.0,Summer,2022/2023,Benfica,chiquinho95
2801,Né Lopes,22.0,0.0,Summer,2022/2023,Gil Vicente FC,ne-lopes00
2804,Mizuki Arai,25.0,0.0,Summer,2022/2023,Gil Vicente FC,mizuki-arai97
