,Player,player_code,Squad,90s,sub_position,Based
1181,Angelo Ogbonna,angelo-ogbonna88,West Ham,13.7,Centre-Back,Premier League
1182,Michael Olise,michael-olise01,Crystal Palace,30.5,Right Winger,Premier League
1183,Amadou Onana,amadou-onana01,Everton,27.6,Defensive Midfield,Premier League
1184,Paul Onuachu,paul-onuachu94,Southampton,4.5,Centre-Forward,Premier League
1185,Frank Onyeka,frank-onyeka98,Brentford,9.4,Central Midfield,Premier League
1186,Mislav Oršić,mislav-orsic92,Southampton,0.1,Left Winger,Premier League
1187,Dango Ouattara,dango-ouattara02,Bournemouth,13.8,Right Winger,Premier League
1188,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain93,Liverpool,3.7,Central Midfield,Premier League
1189,João Palhinha,joao-palhinha95,Fulham,34.5,Defensive Midfield,Premier League
1190,Cole Palmer,cole-palmer02,Manchester City,4.1,Attacking Midfield,Premier League
1191,Lucas Paquetá,lucas-paqueta97,West Ham,23.9,Attacking Midfield,Premier League
1192,Thomas Partey,thomas-partey93,Arsenal,27.6,Defensive Midfield,Premier League
1193,Nathan Patterson,nathan-patterson01,Everton,14.2,Right-Back,Premier League
1194,Facundo Pellistri,facundo-pellistri01,Manchester Utd,0.7,Right Winger,Premier League
1195,Andreas Pereira,andreas-pereira96,Fulham,29.9,Attacking Midfield,Premier League
1196,Ricardo Pereira,ricardo-pereira93,Leicester City,5.0,Right-Back,Premier League
1197,Ivan Perišić,ivan-perisic89,Tottenham,23.4,Left Midfield,Premier League
1198,Romain Perraud,romain-perraud97,Southampton,20.4,Left-Back,Premier League
1199,Máximo Perrone,maximo-perrone03,Manchester City,0.2,Defensive Midfield,Premier League
1200,Kalvin Phillips,kalvin-phillips95,Manchester City,3.3,Defensive Midfield,Premier League
1201,Nathaniel Phillips,nathaniel-phillips97,Liverpool,0.7,Centre-Back,Premier League
1202,Ethan Pinnock,ethan-pinnock93,Brentford,30.0,Centre-Back,Premier League
1203,Daniel Podence,daniel-podence95,Wolves,19.7,Left Winger,Premier League
1204,Pedro Porro,pedro-porro99,Tottenham,12.6,Right-Back,Premier League
1205,Dennis Praet,dennis-praet94,Leicester City,7.2,Central Midfield,Premier League
1206,Christian Pulisic,christian-pulisic98,Chelsea,9.1,Right Winger,Premier League
1207,Jacob Ramsey,jacob-ramsey01,Aston Villa,29.3,Central Midfield,Premier League
1208,Marcus Rashford,marcus-rashford97,Manchester Utd,32.0,Left Winger,Premier League
1209,Tim Ream,tim-ream87,Fulham,32.2,Centre-Back,Premier League
1210,Harrison Reed,harrison-reed95,Fulham,31.8,Central Midfield,Premier League
1211,Bobby Reid,bobby-reid93,Fulham,27.5,Attacking Midfield,Premier League
1212,Declan Rice,declan-rice99,West Ham,36.4,Defensive Midfield,Premier League
1213,Chris Richards,chris-richards00,Crystal Palace,5.0,Centre-Back,Premier League
1214,Richarlison,richarlison97,Tottenham,11.2,Centre-Forward,Premier League
1215,Jaïro Riedewald,jairo-riedewald96,Crystal Palace,0.7,Defensive Midfield,Premier League
1216,Matt Ritchie,matt-ritchie89,Newcastle Utd,0.4,Right Midfield,Premier League
1217,Andrew Robertson,andrew-robertson94,Liverpool,28.7,Left-Back,Premier League
1218,Antonee Robinson,antonee-robinson97,Fulham,34.3,Left-Back,Premier League
1219,Marc Roca,marc-roca96,Leeds United,25.7,Defensive Midfield,Premier League
1220,Rodri,rodri96,Manchester City,32.3,Defensive Midfield,Premier League
1221,Rodrigo,rodrigo91,Leeds United,21.5,Centre-Forward,Premier League
1222,Mads Roerslev,mads-roerslev99,Brentford,12.3,Right-Back,Premier League
1223,Cristian Romero,cristian-romero98,Tottenham,26.3,Centre-Back,Premier League
1224,Joe Rothwell,joe-rothwell95,Bournemouth,11.3,Central Midfield,Premier League
1225,Georginio Rutter,georginio-rutter02,Leeds United,3.0,Centre-Forward,Premier League
1226,Marcel Sabitzer,marcel-sabitzer94,Manchester Utd,7.0,Central Midfield,Premier League
1227,Allan Saint-Maximin,allan-saint-maximin97,Newcastle Utd,12.4,Left Winger,Premier League
1228,Bukayo Saka,bukayo-saka01,Arsenal,35.3,Right Winger,Premier League
1229,Mohamed Salah,mohamed-salah92,Liverpool,36.6,Right Winger,Premier League
1230,William Saliba,william-saliba01,Arsenal,26.8,Centre-Back,Premier League
1231,Mohammed Salisu,mohammed-salisu99,Southampton,21.9,Centre-Back,Premier League
1232,Albert Sambi Lokonga,albert-sambi-lokonga99,Crystal Palace,6.0,Central Midfield,Premier League
1233,Davinson Sánchez,davinson-sanchez96,Tottenham,9.5,Centre-Back,Premier League
1234,Jadon Sancho,jadon-sancho00,Manchester Utd,18.7,Left Winger,Premier League
1235,Pablo Sarabia,pablo-sarabia92,Wolves,8.5,Right Winger,Premier League
1236,Jeremy Sarmiento,jeremy-sarmiento02,Brighton,2.0,Attacking Midfield,Premier League
1237,Gianluca Scamacca,gianluca-scamacca99,West Ham,10.3,Centre-Forward,Premier League
1238,Gustavo Scarpa,gustavo-scarpa94,Nott'ham Forest,2.0,Attacking Midfield,Premier League
1239,Kevin Schade,kevin-schade01,Brentford,8.1,Right Winger,Premier League
1240,Fabian Schär,fabian-schar91,Newcastle Utd,35.6,Centre-Back,Premier League
1241,Jeffrey Schlupp,jeffrey-schlupp92,Crystal Palace,28.1,Left Midfield,Premier League
1242,Nélson Semedo,nelson-semedo93,Wolves,29.2,Right-Back,Premier League
1243,Antoine Semenyo,antoine-semenyo00,Bournemouth,2.9,Centre-Forward,Premier League
1244,Marcos Senesi,marcos-senesi97,Bournemouth,27.7,Centre-Back,Premier League
1245,Ryan Sessegnon,ryan-sessegnon00,Tottenham,9.0,Left Midfield,Premier League
1246,Luke Shaw,luke-shaw95,Manchester Utd,28.4,Left-Back,Premier League
1247,Jonjo Shelvey,jonjo-shelvey92,Nott'ham Forest,6.0,Central Midfield,Premier League
1248,Bernardo Silva,bernardo-silva94,Manchester City,24.5,Attacking Midfield,Premier League
1249,Thiago Silva,thiago-silva84,Chelsea,26.1,Centre-Back,Premier League
1250,Ellis Simms,ellis-simms01,Everton,2.5,Centre-Forward,Premier League
1251,Luis Sinisterra,luis-sinisterra99,Leeds United,9.6,Left Winger,Premier League
1252,Oliver Skipp,oliver-skipp00,Tottenham,16.6,Defensive Midfield,Premier League
1253,Adam Smith,adam-smith91,Bournemouth,32.7,Right-Back,Premier League
1254,Emile Smith Rowe,emile-smith-rowe00,Arsenal,1.9,Attacking Midfield,Premier League
1255,Cédric Soares,cedric-soares91,Fulham,2.2,Right-Back,Premier League
1256,Dominic Solanke,dominic-solanke97,Bournemouth,31.8,Centre-Forward,Premier League
1257,Manor Solomon,manor-solomon99,Fulham,6.4,Left Winger,Premier League
1258,Tomáš Souček,tomas-soucek95,West Ham,31.3,Defensive Midfield,Premier League
1259,Boubakary Soumaré,boubakary-soumare99,Leicester City,18.1,Defensive Midfield,Premier League
1260,Harry Souttar,harry-souttar98,Leicester City,11.0,Centre-Back,Premier League
1261,Çağlar Söyüncü,caglar-soyuncu96,Leicester City,5.9,Centre-Back,Premier League
1262,Jack Stacey,jack-stacey96,Bournemouth,3.3,Right-Back,Premier League
1263,Junior Stanislas,junior-stanislas89,Bournemouth,0.7,Left Winger,Premier League
1264,Jack Stephens,jack-stephens94,Bournemouth,13.0,Centre-Back,Premier League
1265,Raheem Sterling,raheem-sterling94,Chelsea,21.0,Left Winger,Premier League
1266,John Stones,john-stones94,Manchester City,20.5,Centre-Back,Premier League
1267,Pascal Struijk,pascal-struijk99,Leeds United,24.4,Left-Back,Premier League
1268,Kamaldeen Sulemana,kamaldeen-sulemana02,Southampton,10.7,Left Winger,Premier League
1269,Crysencio Summerville,crysencio-summerville01,Leeds United,15.8,Right Winger,Premier League
1270,Sam Surridge,sam-surridge98,Nott'ham Forest,3.6,Centre-Forward,Premier League
1271,Japhet Tanganga,japhet-tanganga99,Tottenham,1.6,Centre-Back,Premier League
1272,Matt Targett,matt-targett95,Newcastle Utd,6.8,Left-Back,Premier League
1273,James Tarkowski,james-tarkowski92,Everton,38.0,Centre-Back,Premier League
1274,Marcus Tavernier,marcus-tavernier99,Bournemouth,19.4,Left Midfield,Premier League
1275,Tetê,tete00,Leicester City,8.2,Right Winger,Premier League
1276,Kenny Tete,kenny-tete95,Fulham,28.5,Right-Back,Premier League
1277,Luke Thomas,luke-thomas01,Leicester City,11.9,Left-Back,Premier League
1278,Youri Tielemans,youri-tielemans97,Leicester City,26.0,Central Midfield,Premier League
1279,Kieran Tierney,kieran-tierney97,Arsenal,8.8,Left-Back,Premier League
1280,Harry Toffolo,harry-toffolo95,Nott'ham Forest,10.4,Left-Back,Premier League
1281,Takehiro Tomiyasu,takehiro-tomiyasu98,Arsenal,7.4,Right-Back,Premier League
1282,James Tomkins,james-tomkins89,Crystal Palace,3.8,Centre-Back,Premier League
1283,Ivan Toney,ivan-toney96,Brentford,32.8,Centre-Forward,Premier League
1284,Adama Traoré,adama-traore96,Wolves,16.6,Right Winger,Premier League
1285,Bertrand Traoré,bertrand-traore95,Aston Villa,2.6,Right Winger,Premier League
1286,Boubacar Traoré,boubacar-traore01,Wolves,4.6,Defensive Midfield,Premier League
1287,Kieran Trippier,kieran-trippier90,Newcastle Utd,37.1,Right-Back,Premier League
1288,Leandro Trossard,leandro-trossard94,Arsenal,10.3,Left Winger,Premier League
1289,Kostas Tsimikas,kostas-tsimikas96,Liverpool,8.6,Left-Back,Premier League
1290,Deniz Undav,deniz-undav96,Brighton,7.0,Centre-Forward,Premier League
1291,Virgil van Dijk,virgil-van-dijk91,Liverpool,31.5,Centre-Back,Premier League
1292,Raphaël Varane,raphael-varane93,Manchester Utd,21.2,Centre-Back,Premier League
1293,Jamie Vardy,jamie-vardy87,Leicester City,20.6,Centre-Forward,Premier League
1294,Joël Veltman,joel-veltman92,Brighton,24.3,Right-Back,Premier League
1295,Fabio Vieira,fabio-vieira00,Arsenal,5.7,Attacking Midfield,Premier League
1296,Matías Viña,matias-vina97,Bournemouth,5.1,Left-Back,Premier League
1297,Rúben Vinagre,ruben-vinagre99,Everton,0.3,Left-Back,Premier League
1298,Carlos Vinícius,carlos-vinicius95,Fulham,12.3,Centre-Forward,Premier League
1299,Theo Walcott,theo-walcott89,Southampton,12.5,Right Winger,Premier League
1300,Kyle Walker,kyle-walker90,Manchester City,21.8,Right-Back,Premier League
1301,Kyle Walker-Peters,kyle-walker-peters97,Southampton,29.4,Right-Back,Premier League
1302,Aaron Wan-Bissaka,aaron-wan-bissaka97,Manchester Utd,15.9,Right-Back,Premier League
1303,Joel Ward,joel-ward89,Crystal Palace,25.1,Right-Back,Premier League
1304,James Ward-Prowse,james-ward-prowse94,Southampton,37.5,Central Midfield,Premier League
1305,Ollie Watkins,ollie-watkins95,Aston Villa,34.7,Centre-Forward,Premier League
1306,Adam Webster,adam-webster95,Brighton,22.1,Centre-Back,Premier League
1307,Wout Weghorst,wout-weghorst92,Manchester Utd,8.9,Centre-Forward,Premier League
1308,Danny Welbeck,danny-welbeck90,Brighton,20.6,Centre-Forward,Premier League
1309,Ben White,ben-white97,Arsenal,33.9,Right-Back,Premier League
1310,Neco Williams,neco-williams01,Nott'ham Forest,20.9,Right-Back,Premier League
1311,Willian,willian88,Fulham,23.6,Left Winger,Premier League
1312,Joe Willock,joe-willock99,Newcastle Utd,28.4,Central Midfield,Premier League
1313,Callum Wilson,callum-wilson92,Newcastle Utd,20.9,Centre-Forward,Premier League
1314,Harry Wilson,harry-wilson97,Fulham,12.2,Right Winger,Premier League
1315,Yoane Wissa,yoane-wissa96,Brentford,17.8,Left Winger,Premier League
1316,Maximilian Wöber,maximilian-wober98,Leeds United,14.1,Centre-Back,Premier League
1317,Chris Wood,chris-wood91,Nott'ham Forest,4.1,Centre-Forward,Premier League
1318,Joe Worrall,joe-worrall97,Nott'ham Forest,24.7,Centre-Back,Premier League
1319,Granit Xhaka,granit-xhaka92,Arsenal,33.3,Central Midfield,Premier League
1320,Ryan Yates,ryan-yates97,Nott'ham Forest,20.4,Central Midfield,Premier League
1321,Ashley Young,ashley-young85,Aston Villa,22.6,Right-Back,Premier League
1322,Illia Zabarnyi,illia-zabarnyi02,Bournemouth,3.3,Centre-Back,Premier League
1323,Wilfried Zaha,wilfried-zaha92,Crystal Palace,25.4,Left Winger,Premier League
1324,Denis Zakaria,denis-zakaria96,Chelsea,4.6,Defensive Midfield,Premier League
1325,Jordan Zemura,jordan-zemura99,Bournemouth,16.2,Left-Back,Premier League
1326,Oleksandr Zinchenko,oleksandr-zinchenko96,Arsenal,23.5,Left-Back,Premier League
1327,Hakim Ziyech,hakim-ziyech93,Chelsea,7.3,Right Winger,Premier League
1328,Kurt Zouma,kurt-zouma94,West Ham,22.1,Centre-Back,Premier League
1329,Martin Ødegaard,martin-odegaard98,Arsenal,34.7,Attacking Midfield,Premier League
1330,Abner,abner00,Betis,6.7,Left-Back,La Liga
1331,Marcos Acuña,marcos-acuna91,Sevilla,21.2,Left-Back,La Liga
1332,Álvaro Aguado,alvaro-aguado96,Valladolid,21.0,Central Midfield,La Liga
1333,Joseph Aidoo,joseph-aidoo95,Celta Vigo,34.7,Centre-Back,La Liga
1334,Sergio Akieme,sergio-akieme97,Almería,25.5,Left-Back,La Liga
1335,Paul Akouokou,paul-akouokou97,Betis,5.0,Defensive Midfield,La Liga
1336,David Alaba,david-alaba92,Real Madrid,20.4,Centre-Back,La Liga
1337,Jordi Alba,jordi-alba89,Barcelona,15.8,Left-Back,La Liga
1338,Raúl Albiol,raul-albiol85,Villarreal,23.5,Centre-Back,La Liga
1339,Rubén Alcaraz,ruben-alcaraz91,Cádiz,22.7,Central Midfield,La Liga
1340,Omar Alderete,omar-alderete96,Getafe,22.7,Centre-Back,La Liga
1341,Iván Alejo,ivan-alejo95,Cádiz,14.6,Right Winger,La Liga
1342,Carles Aleñá,carles-alena98,Getafe,23.5,Central Midfield,La Liga
1343,Ángel Algobia,angel-algobia99,Getafe,12.6,Defensive Midfield,La Liga
1344,Mohamed Ali Cho,mohamed-ali-cho04,Real Sociedad,6.5,Centre-Forward,La Liga
1345,Domingos André Ribeiro Almeida,domingos-andre-ribeiro-almeida00,Valencia,28.2,Central Midfield,La Liga
1346,Marcos Alonso,marcos-alonso90,Barcelona,13.0,Left-Back,La Liga
1347,Gastón Álvarez,gaston-alvarez00,Getafe,16.7,Centre-Back,La Liga
1348,Yeray Álvarez,yeray-alvarez95,Athletic Club,25.9,Centre-Back,La Liga
1349,Selim Amallah,selim-amallah96,Valladolid,3.0,Attacking Midfield,La Liga
1350,Amath,amath96,Mallorca,13.6,Left Winger,La Liga
1351,Jordan Amavi,jordan-amavi94,Getafe,2.2,Left-Back,La Liga
1352,Marcos André,marcos-andre96,Valencia,5.0,Centre-Forward,La Liga
1353,Fabrizio Angileri,fabrizio-angileri94,Getafe,6.5,Left-Back,La Liga
1354,Anuar,anuar95,Valladolid,2.3,Central Midfield,La Liga
1355,Mauro Arambarri,mauro-arambarri95,Getafe,11.0,Central Midfield,La Liga
1356,Ronald Araújo,ronald-araujo99,Barcelona,20.0,Centre-Back,La Liga
1357,Santiago Arzamendia,santiago-arzamendia98,Cádiz,5.4,Left-Back,La Liga
1358,Marco Asensio,marco-asensio96,Real Madrid,16.0,Right Winger,La Liga
1359,Iago Aspas,iago-aspas87,Celta Vigo,31.9,Centre-Forward,La Liga
1360,Ludwig Augustinsson,ludwig-augustinsson94,Mallorca,1.5,Left-Back,La Liga
1361,Ezequiel Ávila,ezequiel-avila94,Osasuna,19.0,Centre-Forward,La Liga
1362,Iddrisu Baba,iddrisu-baba96,Mallorca,18.9,Central Midfield,La Liga
1363,Srđan Babić,srdan-babic96,Almería,33.3,Centre-Back,La Liga
1364,Loïc Bade,loic-bade00,Sevilla,16.1,Centre-Back,La Liga
1365,Alex Baena,alex-baena01,Villarreal,21.6,Left Winger,La Liga
1366,Alejandro Balde,alejandro-balde03,Barcelona,27.5,Left-Back,La Liga
1367,Mikel Balenziaga,mikel-balenziaga88,Athletic Club,1.3,Left-Back,La Liga
1368,Iván Balliu,ivan-balliu92,Rayo Vallecano,35.9,Right-Back,La Liga
1369,Léo Baptistão,leo-baptistao92,Almería,19.2,Second Striker,La Liga
1370,Keidi Bare,keidi-bare97,Espanyol,5.6,Central Midfield,La Liga
1371,Kike Barja,kike-barja97,Osasuna,14.6,Right Winger,La Liga
1372,Ander Barrenetxea,ander-barrenetxea01,Real Sociedad,9.8,Left Winger,La Liga
1373,Pablo Barrios,pablo-barrios03,Atlético Madrid,8.0,Central Midfield,La Liga
1374,Fran Beltrán,fran-beltran99,Celta Vigo,31.7,Central Midfield,La Liga
1375,Karim Benzema,karim-benzema87,Real Madrid,22.6,Centre-Forward,La Liga
1376,Yuri Berchiche,yuri-berchiche90,Athletic Club,26.7,Left-Back,La Liga
1377,Álex Berenguer,alex-berenguer95,Athletic Club,25.5,Left Winger,La Liga
1378,Pedro Bigas,pedro-bigas90,Elche,22.4,Centre-Back,La Liga
1379,El Bilal Touré,el-bilal-toure01,Almería,14.0,Centre-Forward,La Liga
1380,Lautaro Blanco,lautaro-blanco99,Elche,9.7,Left-Back,La Liga
1381,Theo Bongonda,theo-bongonda95,Cádiz,21.5,Right Winger,La Liga
1382,Lucas Boyé,lucas-boye96,Elche,27.4,Centre-Forward,La Liga
1383,Martin Braithwaite,martin-braithwaite91,Espanyol,27.3,Centre-Forward,La Liga
1384,Darko Brašanac,darko-brasanac92,Osasuna,11.6,Central Midfield,La Liga
1385,Ante Budimir,ante-budimir91,Osasuna,20.0,Centre-Forward,La Liga
1386,Santiago Bueno,santiago-bueno98,Girona,33.4,Centre-Back,La Liga
1387,Sergio Busquets,sergio-busquets88,Barcelona,26.0,Defensive Midfield,La Liga
1388,Leandro Cabrera,leandro-cabrera91,Espanyol,29.7,Centre-Back,La Liga
1389,Cala,cala89,Cádiz,1.5,Centre-Back,La Liga
1390,Fernando Calero,fernando-calero95,Espanyol,17.9,Centre-Back,La Liga
1391,Alexander Callens,alexander-callens92,Girona,1.3,Centre-Back,La Liga
1392,Eduardo Camavinga,eduardo-camavinga02,Real Madrid,22.3,Central Midfield,La Liga
1393,Sergio Camello,sergio-camello01,Rayo Vallecano,26.7,Centre-Forward,La Liga
1394,Sergio Canales,sergio-canales91,Betis,26.7,Attacking Midfield,La Liga
1395,Ander Capa,ander-capa92,Athletic Club,1.2,Right-Back,La Liga
1396,Étienne Capoue,etienne-capoue88,Villarreal,21.7,Defensive Midfield,La Liga
1397,Isaac Carcelen,isaac-carcelen93,Cádiz,24.4,Right-Back,La Liga
1398,José Carlos Lazo,jose-carlos-lazo96,Espanyol,1.8,Left Winger,La Liga
1399,Yannick Carrasco,yannick-carrasco93,Atlético Madrid,25.7,Left Winger,La Liga
1400,Dani Carvajal,dani-carvajal92,Real Madrid,19.8,Right-Back,La Liga
1401,William Carvalho,william-carvalho92,Betis,27.1,Defensive Midfield,La Liga
1402,Valentín Castellanos,valentin-castellanos98,Girona,28.9,Centre-Forward,La Liga
1403,Samu Castillejo,samu-castillejo95,Valencia,15.1,Right Winger,La Liga
1404,Edinson Cavani,edinson-cavani87,Valencia,16.1,Centre-Forward,La Liga
1405,Dani Ceballos,dani-ceballos96,Real Madrid,17.4,Central Midfield,La Liga
1406,Franco Cervi,franco-cervi94,Celta Vigo,21.0,Left Winger,La Liga
1407,Pep Chavarría,pep-chavarria98,Rayo Vallecano,4.1,Left-Back,La Liga
1408,Pape Cheikh Diop,pape-cheikh-diop97,Elche,0.4,Central Midfield,La Liga
1409,Andreas Christensen,andreas-christensen96,Barcelona,19.6,Centre-Back,La Liga
1410,Samuel Chukwueze,samuel-chukwueze99,Villarreal,26.0,Right Winger,La Liga
1411,Víctor Chust,victor-chust00,Cádiz,10.7,Centre-Back,La Liga
1412,Pathé Ciss,pathe-ciss94,Rayo Vallecano,14.2,Central Midfield,La Liga
1413,Carlos Clerc,carlos-clerc92,Elche,29.3,Left-Back,La Liga
1414,Álex Collado,alex-collado99,Elche,8.1,Right Winger,La Liga
1415,Eray Cömert,eray-comert98,Valencia,18.6,Centre-Back,La Liga
1416,Santi Comesaña,santi-comesana96,Rayo Vallecano,27.2,Central Midfield,La Liga
1417,Copete,copete99,Mallorca,24.5,Centre-Back,La Liga
1418,Francis Coquelin,francis-coquelin91,Villarreal,8.3,Defensive Midfield,La Liga
1419,Ángel Correa,angel-correa95,Atlético Madrid,16.2,Right Winger,La Liga
1420,Thierry Correia,thierry-correia99,Valencia,22.3,Right-Back,La Liga
1421,Jaume Costa,jaume-costa88,Mallorca,28.9,Left-Back,La Liga
1422,Samu Costa,samu-costa00,Almería,22.1,Defensive Midfield,La Liga
1423,Yan Couto,yan-couto02,Girona,12.9,Right-Back,La Liga
1424,Juan Cruz Armada,juan-cruz-armada92,Osasuna,22.9,Left-Back,La Liga
1425,Juan Cruz,juan-cruz00,Betis,2.0,Right Winger,La Liga
1426,Jorge Cuenca,jorge-cuenca99,Villarreal,5.6,Centre-Back,La Liga
1427,Sergi Darder,sergi-darder93,Espanyol,36.9,Central Midfield,La Liga
1428,Rodrigo De Paul,rodrigo-de-paul94,Atlético Madrid,21.4,Central Midfield,La Liga
1429,Ousmane Dembélé,ousmane-dembele97,Barcelona,15.7,Right Winger,La Liga
1430,Mouctar Diakhaby,mouctar-diakhaby96,Valencia,27.2,Centre-Back,La Liga
1431,Youba Diarra,youba-diarra98,Cádiz,1.1,Central Midfield,La Liga
1432,Djené,djene91,Getafe,31.6,Centre-Back,La Liga
1433,Matt Doherty,matt-doherty92,Atlético Madrid,0.2,Right-Back,La Liga
1434,Carlos Dominguez,carlos-dominguez01,Celta Vigo,1.2,Centre-Back,La Liga
1435,John Donald,john-donald00,Elche,12.1,Centre-Back,La Liga
1436,Domingos Duarte,domingos-duarte95,Getafe,29.5,Centre-Back,La Liga
1437,Hugo Duro,hugo-duro99,Valencia,15.4,Centre-Forward,La Liga
1438,Íñigo Eguaras,inigo-eguaras92,Almería,10.7,Defensive Midfield,La Liga
1439,Aritz Elustondo,aritz-elustondo94,Real Sociedad,16.1,Centre-Back,La Liga
1440,Rodrigo Ely,rodrigo-ely93,Almería,35.1,Centre-Back,La Liga
1441,Adri Embarba,adri-embarba92,Almería,16.4,Right Winger,La Liga
1442,Youssef En-Nesyri,youssef-en-nesyri97,Sevilla,18.5,Centre-Forward,La Liga
1443,Gonzalo Escalante,gonzalo-escalante93,Cádiz,12.5,Central Midfield,La Liga
1444,Sergio Escudero,sergio-escudero89,Valladolid,16.0,Left-Back,La Liga
1445,Alfonso Espino,alfonso-espino92,Cádiz,34.7,Left-Back,La Liga
1446,Bernardo Espinosa,bernardo-espinosa89,Girona,13.6,Centre-Back,La Liga
1447,Edu Expósito,edu-exposito96,Espanyol,12.9,Central Midfield,La Liga
1448,Nicolás Ezequiel Fernández,nicolas-ezequiel-fernandez00,Elche,5.7,Left-Back,La Liga
1449,Abdessamad Ezzalzouli,abdessamad-ezzalzouli01,Osasuna,16.7,Left Winger,La Liga
1450,Radamel Falcao,radamel-falcao86,Rayo Vallecano,6.8,Centre-Forward,La Liga
1451,Fali,fali93,Cádiz,19.0,Centre-Back,La Liga
1452,Ansu Fati,ansu-fati02,Barcelona,15.5,Left Winger,La Liga
1453,Nabil Fekir,nabil-fekir93,Betis,10.7,Attacking Midfield,La Liga
1454,Kiko Femenía,kiko-femenia91,Villarreal,12.6,Right-Back,La Liga
1455,Álex Fernández,alex-fernandez92,Cádiz,17.5,Attacking Midfield,La Liga
1456,Carlos Fernández,carlos-fernandez96,Real Sociedad,7.0,Centre-Forward,La Liga
1457,Joaquín Fernández,joaquin-fernandez96,Valladolid,24.0,Centre-Back,La Liga
1458,Valery Fernández,valery-fernandez99,Girona,10.7,Right Winger,La Liga
1459,Fernando,fernando87,Sevilla,17.5,Defensive Midfield,La Liga
1460,Fidel,fidel89,Elche,19.0,Left Winger,La Liga
1461,Dimitri Foulquier,dimitri-foulquier93,Valencia,19.3,Right-Back,La Liga
1462,Juan Foyth,juan-foyth98,Villarreal,21.8,Right-Back,La Liga
1463,Iván Fresneda,ivan-fresneda04,Valladolid,19.4,Right-Back,La Liga
1464,Javi Galán,javi-galan94,Celta Vigo,35.1,Left-Back,La Liga
1465,Iñigo Ruiz de Galarreta,inigo-ruiz-de-galarreta93,Mallorca,27.2,Central Midfield,La Liga
1466,Aleix García,aleix-garcia97,Girona,26.0,Central Midfield,La Liga
1467,Álvaro García,alvaro-garcia92,Rayo Vallecano,31.9,Left Winger,La Liga
1468,Borja García,borja-garcia90,Girona,7.5,Attacking Midfield,La Liga
1469,Dani García,dani-garcia90,Athletic Club,16.5,Central Midfield,La Liga
1470,David García,david-garcia94,Osasuna,29.8,Centre-Back,La Liga
1471,Eric García,eric-garcia01,Barcelona,15.7,Centre-Back,La Liga
1472,Fran Garcia,fran-garcia99,Rayo Vallecano,37.9,Left-Back,La Liga
1473,Raúl García,raul-garcia86,Athletic Club,10.7,Centre-Forward,La Liga
1474,Rubén García,ruben-garcia93,Osasuna,12.9,Left Winger,La Liga
1475,Unai García,unai-garcia92,Osasuna,19.0,Centre-Back,La Liga
1476,Gavi,gavi04,Barcelona,28.1,Central Midfield,La Liga
1477,Bryan Gil,bryan-gil01,Sevilla,10.2,Left Winger,La Liga
1478,Dani Gómez,dani-gomez98,Espanyol,1.0,Centre-Forward,La Liga
1479,Moi Gómez,moi-gomez94,Osasuna,27.3,Left Winger,La Liga
1480,Papu Gómez,papu-gomez88,Sevilla,11.8,Left Winger,La Liga
1481,Sergi Gómez,sergi-gomez92,Espanyol,26.0,Centre-Back,La Liga
1482,Diego González,diego-gonzalez95,Elche,10.6,Centre-Back,La Liga
1483,Édgar González,edgar-gonzalez97,Betis,19.7,Centre-Back,La Liga
1484,Giovanni González,giovanni-gonzalez94,Mallorca,10.3,Right-Back,La Liga
1485,Nicolás González,nicolas-gonzalez02,Valencia,15.6,Central Midfield,La Liga
1486,Andoni Gorosabel,andoni-gorosabel96,Real Sociedad,19.0,Right-Back,La Liga
1487,José Gragera,jose-gragera00,Espanyol,5.1,Central Midfield,La Liga
1488,Clément Grenier,clement-grenier91,Mallorca,8.0,Central Midfield,La Liga
1489,Antoine Griezmann,antoine-griezmann91,Atlético Madrid,31.8,Second Striker,La Liga
1490,Andrés Guardado,andres-guardado86,Betis,15.3,Central Midfield,La Liga
1491,Sergi Guardiola,sergi-guardiola91,Cádiz,12.9,Centre-Forward,La Liga
1492,Nemanja Gudelj,nemanja-gudelj91,Sevilla,30.9,Defensive Midfield,La Liga
1493,Ander Guevara,ander-guevara97,Real Sociedad,2.5,Central Midfield,La Liga
1494,Pape Gueye,pape-gueye99,Sevilla,13.0,Defensive Midfield,La Liga
1495,Gerard Gumbau,gerard-gumbau94,Elche,30.4,Defensive Midfield,La Liga
1496,Gorka Guruzeta,gorka-guruzeta96,Athletic Club,15.8,Centre-Forward,La Liga
1497,Raúl Guti,raul-guti96,Elche,12.4,Central Midfield,La Liga
1498,Miguel Gutiérrez,miguel-gutierrez01,Girona,26.6,Left-Back,La Liga
1499,Munir El Haddadi,munir-el-haddadi95,Getafe,12.8,Centre-Forward,La Liga
1500,Dennis Hadzikadunic,dennis-hadzikadunic98,Mallorca,6.8,Centre-Back,La Liga
1501,Eden Hazard,eden-hazard91,Real Madrid,2.2,Left Winger,La Liga
1502,Luiz Henrique,luiz-henrique01,Betis,20.1,Right Winger,La Liga
1503,Mario Hermoso,mario-hermoso95,Atlético Madrid,23.4,Centre-Back,La Liga
1504,Javi Hernández,javi-hernandez98,Girona,12.4,Left-Back,La Liga
1505,Aridane Hernández,aridane-hernandez89,Osasuna,19.9,Centre-Back,La Liga
