,Squad,sq_Poss,sq_Gls,sq_Ast,sq_Gls/90,sq_Ast/90,opp_sq_Poss,opp_sq_Gls,opp_sq_Ast,opp_sq_Gls/90,opp_sq_Ast/90
293,Almere City,50.8,54,42,1.42,1.11,49.2,66.0,50.0,1.74,1.32
294,De Graafschap,53.5,51,39,1.34,1.03,46.5,41.0,30.0,1.08,0.79
295,Den Bosch,47.4,40,32,1.05,0.84,52.6,61.0,43.0,1.61,1.13
296,Dordrecht,44.5,51,36,1.34,0.95,55.5,75.0,52.0,1.97,1.37
297,Emmen,58.1,61,47,1.61,1.24,41.9,24.0,20.0,0.63,0.53
298,Excelsior,48.2,77,55,2.03,1.45,51.8,54.0,35.0,1.42,0.92
299,FC Eindhoven,43.1,69,48,1.82,1.26,56.9,43.0,33.0,1.13,0.87
300,Helmond Sport,47.1,37,28,0.97,0.74,52.9,71.0,62.0,1.87,1.63
301,Jong Ajax,59.0,81,54,2.13,1.42,41.0,61.0,38.0,1.61,1.0
302,Jong AZ,52.1,39,33,1.03,0.87,47.9,46.0,32.0,1.21,0.84
303,Jong PSV,54.1,60,49,1.58,1.29,46.0,59.0,42.0,1.55,1.11
304,Jong Utrecht,46.7,41,29,1.08,0.76,53.3,64.0,41.0,1.68,1.08
305,MVV Maastricht,42.0,41,30,1.08,0.79,58.0,73.0,55.0,1.92,1.45
306,NAC Breda,52.4,57,41,1.5,1.08,47.6,43.0,34.0,1.13,0.89
307,Oss,45.7,47,37,1.24,0.97,54.4,59.0,43.0,1.55,1.13
308,Roda JC,55.4,74,54,1.95,1.42,44.6,48.0,35.0,1.26,0.92
309,Telstar,48.7,47,32,1.24,0.84,51.3,74.0,53.0,1.95,1.39
310,Volendam,55.2,81,54,2.13,1.42,44.8,52.0,39.0,1.37,1.03
311,VVV-Venlo,44.8,47,31,1.24,0.82,55.2,64.0,43.0,1.68,1.13
312,Arbroath FC,,52,25,1.44,0.69,,27.0,19.0,0.75,0.53
313,Ayr United,,37,22,1.03,0.61,,50.0,34.0,1.39,0.94
314,Dunfermline,,35,20,0.97,0.56,,48.0,33.0,1.33,0.92
315,Gr'nock Morton,,33,21,0.92,0.58,,45.0,26.0,1.25,0.72
316,Hamilton,,38,21,1.06,0.58,,51.0,29.0,1.42,0.81
317,Inverness CT,,51,35,1.42,0.97,,34.0,22.0,0.94,0.61
318,Kilmarnock,,49,31,1.36,0.86,,27.0,17.0,0.75,0.47
319,Partick Thistle,,43,31,1.19,0.86,,38.0,23.0,1.06,0.64
320,Queens,,34,24,0.94,0.67,,51.0,29.0,1.42,0.81
321,Raith Rovers,,43,30,1.19,0.83,,44.0,28.0,1.22,0.78
