Player_URL,Player,Player1,Player_URL2,Player3,Player4,Player5,Apps,Mins,Goals,Assists,Yel,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/397619/Show/David-Karaev,	184,David Karaev,https://www.whoscored.com/Teams/849/Show/Russia-Torpedo-Moscow,"Torpedo Moscow, ",29,",  AM(CR)  ",25(4),1956	,2	,2	,3	,1.6	,72.3	,0.7	,1	,6.46
https://www.whoscored.com/Players/111793/Show/Ilya-Pomazun,	185,Ilya Pomazun,https://www.whoscored.com/Teams/4174/Show/Russia-Ural,"Ural, ",27,",  GK  ",29,2610	,-	,-	,3	,-	,62.2	,-	,1	,6.46
https://www.whoscored.com/Players/32447/Show/Denys-Kulakov,	186,Denys Kulakov,https://www.whoscored.com/Teams/4174/Show/Russia-Ural,"Ural, ",38,",  D(R),M(R)  ",15(4),1403	,-	,1	,5	,0.1	,71.2	,0.9	,-	,6.46
https://www.whoscored.com/Players/353948/Show/Andrey-Egorychev,	187,Andrey Egorychev,https://www.whoscored.com/Teams/4174/Show/Russia-Ural,"Ural, ",31,",  D(R),M(CLR)  ",20(1),1653	,2	,3	,4	,1	,73.1	,0.7	,1	,6.46
https://www.whoscored.com/Players/38498/Show/Jo%C3%A3ozinho,	188,Joãozinho,https://www.whoscored.com/Teams/8726/Show/Russia-PFC-Sochi,"PFC Sochi, ",35,",  M(CLR),FW  ",12(11),926	,3	,2	,1	,1.1	,79.7	,0.3	,2	,6.46
https://www.whoscored.com/Players/378532/Show/Aleksandr-Dolgov,	189,Aleksandr Dolgov,https://www.whoscored.com/Teams/2059/Show/Russia-Khimki,"Khimki, ",25,",  FW  ",11(14),1075	,4	,2	,4	,1	,67.5	,1.6	,1	,6.46
https://www.whoscored.com/Players/376897/Show/Kirill-Pechenin,	190,Kirill Pechenin,https://www.whoscored.com/Teams/5460/Show/Russia-FC-Orenburg,"FC Orenburg, ",27,",  D(L),M(L)  ",15(4),1356	,-	,2	,1	,0.8	,76.7	,0.4	,-	,6.46
https://www.whoscored.com/Players/418204/Show/Igor-Savic,	191,Igor Savic,https://www.whoscored.com/Teams/849/Show/Russia-Torpedo-Moscow,"Torpedo Moscow, ",23,",  DMC  ",12(3),1016	,-	,-	,5	,0.5	,72.8	,1.9	,-	,6.45
https://www.whoscored.com/Players/146645/Show/Aleksandr-Troshechkin,	192,Aleksandr Troshechkin,https://www.whoscored.com/Teams/2407/Show/Russia-FK-Akhmat,"FK Akhmat, ",28,",  M(C),FW  ",11(8),1070	,2	,3	,3	,0.8	,66.3	,0.8	,-	,6.45
https://www.whoscored.com/Players/444573/Show/V%C3%ADctor-M%C3%A9ndez,	193,Víctor Méndez,https://www.whoscored.com/Teams/847/Show/Russia-CSKA-Moscow,"CSKA Moscow, ",24,",  M(C)  ",22(4),1903	,-	,-	,1	,0.6	,88.5	,0.5	,-	,6.45
https://www.whoscored.com/Players/405809/Show/Aleksandr-Kutitskiy,	194,Aleksandr Kutitskiy,https://www.whoscored.com/Teams/846/Show/Russia-Dinamo-Moscow,"Dinamo Moscow, ",22,",  DMC  ",14(8),1226	,-	,-	,-	,0.3	,82.1	,0.8	,-	,6.45
https://www.whoscored.com/Players/354056/Show/Vyacheslav-Grulev,	195,Vyacheslav Grulev,https://www.whoscored.com/Teams/846/Show/Russia-Dinamo-Moscow,"Dinamo Moscow, ",25,",  AM(LR),FW  ",11(15),1044	,3	,2	,2	,1.2	,57.4	,0.7	,-	,6.45
https://www.whoscored.com/Players/423853/Show/Ibrokhimkhalil-Yuldoshev,	196,Ibrokhimkhalil Yuldoshev,https://www.whoscored.com/Teams/23722/Show/Russia-Nizhny-Novgorod,"Nizhny Novgorod, ",23,",  D(L),M(L)  ",14(14),1363	,2	,1	,5	,0.4	,76.2	,0.5	,-	,6.44
