Player_URL,Player,Player1,Player_URL2,Player3,Player4,Player5,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/327905/Show/Alexis-Claude-Maurice,	193,Alexis Claude-Maurice,https://www.whoscored.com/Teams/309/Show/France-Lens,"Lens, ",25,",  AM(CL)  ",5(15),597	,5	,3	,-	,-	,0.7	,86.2	,0.2	,1	,6.56
https://www.whoscored.com/Players/83197/Show/Mathias-Autret,	194,Mathias Autret,https://www.whoscored.com/Teams/308/Show/France-Auxerre,"Auxerre, ",33,",  M(CLR)  ",16(7),1302	,2	,2	,-	,-	,1	,81.1	,0.2	,-	,6.56
https://www.whoscored.com/Players/426340/Show/Muhammed-Cham,	195,Muhammed Cham,https://www.whoscored.com/Teams/941/Show/France-Clermont-Foot,"Clermont Foot, ",23,",  AM(C),FW  ",23(15),1976	,7	,4	,2	,-	,1.4	,83.1	,0.2	,1	,6.55
https://www.whoscored.com/Players/95422/Show/Jordan-Ferri,	196,Jordan Ferri,https://www.whoscored.com/Teams/311/Show/France-Montpellier,"Montpellier, ",32,",  M(C)  ",32(2),2749	,1	,2	,5	,1	,0.4	,86.5	,0.5	,1	,6.55
https://www.whoscored.com/Players/232582/Show/Renaud-Ripart,	197,Renaud Ripart,https://www.whoscored.com/Teams/229/Show/France-Troyes,"Troyes, ",31,",  D(R),M(CLR),FW  ",15(11),1319	,4	,1	,4	,-	,1.5	,70	,2.2	,-	,6.55
https://www.whoscored.com/Players/202185/Show/Moses-Simon,	198,Moses Simon,https://www.whoscored.com/Teams/302/Show/France-Nantes,"Nantes, ",28,",  M(CLR),FW  ",28(6),2359	,5	,4	,3	,-	,1	,73.9	,0.3	,1	,6.55
https://www.whoscored.com/Players/79560/Show/Maxime-Gonalons,	199,Maxime Gonalons,https://www.whoscored.com/Teams/941/Show/France-Clermont-Foot,"Clermont Foot, ",35,",  D(C),M(C)  ",19(6),1457	,1	,-	,3	,-	,0.2	,88.6	,0.6	,1	,6.55
https://www.whoscored.com/Players/374992/Show/Jean-K%C3%A9vin-Duverne,	200,Jean-Kévin Duverne,https://www.whoscored.com/Teams/2332/Show/France-Brest,"Brest, ",26,",  D(CLR)  ",27(7),2514	,-	,-	,2	,-	,0.1	,73.9	,1	,-	,6.54
https://www.whoscored.com/Players/92547/Show/Ross-Barkley,	201,Ross Barkley,https://www.whoscored.com/Teams/613/Show/France-Nice,"Nice, ",30,",  M(CLR)  ",9(18),923	,4	,2	,1	,-	,1.4	,83.6	,0.1	,-	,6.54
https://www.whoscored.com/Players/318750/Show/Stephy-Mavididi,	202,Stephy Mavididi,https://www.whoscored.com/Teams/311/Show/France-Montpellier,"Montpellier, ",25,",  AM(LR),FW  ",14(12),1285	,4	,2	,1	,1	,1.4	,75.3	,0.4	,-	,6.54
https://www.whoscored.com/Players/400193/Show/David-Pereira-da-Costa,	203,David Pereira da Costa,https://www.whoscored.com/Teams/309/Show/France-Lens,"Lens, ",23,",  AM(CL)  ",16(15),1410	,1	,3	,2	,-	,0.8	,86	,0.1	,-	,6.53
https://www.whoscored.com/Players/414233/Show/Maxime-Esteve,	204,Maxime Esteve,https://www.whoscored.com/Teams/311/Show/France-Montpellier,"Montpellier, ",21,",  D(C)  ",18(5),1645	,-	,-	,3	,-	,0.3	,81.7	,1.3	,2	,6.53
https://www.whoscored.com/Players/353991/Show/Timothy-Weah,	205,Timothy Weah,https://www.whoscored.com/Teams/607/Show/France-Lille,"Lille, ",24,",  D(LR),M(LR),FW  ",18(11),1748	,-	,2	,2	,-	,1	,85.1	,0.4	,-	,6.53
https://www.whoscored.com/Players/34068/Show/Mohamed-Youssouf,	206,Mohamed Youssouf,https://www.whoscored.com/Teams/610/Show/France-AC-Ajaccio,"AC Ajaccio, ",36,",  D(R)  ",27(3),2457	,-	,-	,5	,1	,0.2	,73.5	,1.6	,1	,6.53
https://www.whoscored.com/Players/367743/Show/Noah-Fadiga,	207,Noah Fadiga,https://www.whoscored.com/Teams/2332/Show/France-Brest,"Brest, ",24,",  D(R),M(R)  ",16(5),1312	,1	,-	,2	,-	,0.5	,79.9	,0.4	,1	,6.52
https://www.whoscored.com/Players/280988/Show/Falaye-Sacko,	208,Falaye Sacko,https://www.whoscored.com/Teams/311/Show/France-Montpellier,"Montpellier, ",29,",  D(CLR),M(R)  ",29(6),2580	,1	,3	,3	,-	,0.2	,81.5	,0.5	,-	,6.52
https://www.whoscored.com/Players/137720/Show/Dimitri-Li%C3%A9nard,	209,Dimitri Liénard,https://www.whoscored.com/Teams/148/Show/France-Strasbourg,"Strasbourg, ",36,",  D(L),M(CL)  ",18(10),1546	,-	,-	,4	,-	,0.5	,78.5	,0.7	,-	,6.52
https://www.whoscored.com/Players/114169/Show/Florent-Mollet,	210,Florent Mollet,https://www.whoscored.com/Teams/302/Show/France-Nantes,"Nantes, ",32,",  AM(CLR)  ",11(8),1090	,1	,2	,3	,-	,1.2	,87.3	,0.5	,-	,6.52
https://www.whoscored.com/Players/297409/Show/Pedro-Chirivella,	211,Pedro Chirivella,https://www.whoscored.com/Teams/302/Show/France-Nantes,"Nantes, ",26,",  DMC  ",25(1),2042	,-	,1	,1	,-	,0.6	,86.6	,0.3	,-	,6.52
