Player_URL,Player,Player1,Player_URL2,Player3,Player4,Player5,Apps,Mins,Goals,Assists,Yel,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/364234/Show/Ryota-Morioka,	134,Ryota Morioka,https://www.whoscored.com/Teams/260/Show/Belgium-Sporting-Charleroi,"Sporting Charleroi, ",33,",  M(C),FW  ",11(11),1000	,3	,3	,2	,0.5	,81.3	,0.5	,1	,6.65
https://www.whoscored.com/Players/383690/Show/Gaetan-Coucke,	135,Gaetan Coucke,https://www.whoscored.com/Teams/237/Show/Belgium-KV-Mechelen,"KV Mechelen, ",25,",  GK  ",28,2511	,-	,-	,-	,-	,69.4	,0.3	,-	,6.65
https://www.whoscored.com/Players/331043/Show/Sofian-Kiyine,	136,Sofian Kiyine,https://www.whoscored.com/Teams/1406/Show/Belgium-OH-Leuven,"OH Leuven, ",26,",  M(CL)  ",12(8),1055	,2	,2	,3	,1.5	,79.6	,0.3	,-	,6.65
https://www.whoscored.com/Players/399852/Show/Konan-N%E2%80%99Dri,	137,Konan N’Dri,https://www.whoscored.com/Teams/2166/Show/Belgium-Eupen,"Eupen, ",23,",  M(LR),FW  ",22(11),2098	,7	,2	,3	,2.2	,69.3	,0.3	,3	,6.65
https://www.whoscored.com/Players/24325/Show/Jelle-Vossen,	138,Jelle Vossen,https://www.whoscored.com/Teams/2164/Show/Belgium-Zulte-Waregem,"Zulte Waregem, ",35,",  AM(CLR),FW  ",27(4),2342	,9	,2	,4	,1.9	,69.8	,1.4	,1	,6.64
https://www.whoscored.com/Players/400135/Show/Hendrik-Van-Crombrugge,	139,Hendrik Van Crombrugge,https://www.whoscored.com/Teams/240/Show/Belgium-Anderlecht,"Anderlecht, ",31,",  GK  ",16,1440	,-	,-	,1	,-	,77.1	,0.2	,-	,6.64
https://www.whoscored.com/Players/260452/Show/Cameron-McGeehan,	140,Cameron McGeehan,https://www.whoscored.com/Teams/2165/Show/Belgium-Oostende,"Oostende, ",29,",  M(C)  ",17(4),1622	,4	,1	,5	,2.6	,70	,1.2	,3	,6.64
https://www.whoscored.com/Players/299032/Show/Alessandro-Ciranni,	141,Alessandro Ciranni,https://www.whoscored.com/Teams/2164/Show/Belgium-Zulte-Waregem,"Zulte Waregem, ",27,",  D(R),M(R)  ",25(2),2058	,1	,3	,5	,0.6	,70.8	,0.4	,-	,6.64
https://www.whoscored.com/Players/361853/Show/Marius-Mouandilmadji,	142,Marius Mouandilmadji,https://www.whoscored.com/Teams/5747/Show/Belgium-RFC-Seraing,"RFC Seraing, ",26,",  FW  ",24(2),1945	,11	,1	,4	,1.7	,55.8	,3	,2	,6.63
https://www.whoscored.com/Players/296317/Show/Isaac-Mbenza,	143,Isaac Mbenza,https://www.whoscored.com/Teams/260/Show/Belgium-Sporting-Charleroi,"Sporting Charleroi, ",28,",  M(CLR),FW  ",24(9),2147	,4	,7	,2	,1.3	,80.1	,0.1	,1	,6.63
https://www.whoscored.com/Players/420028/Show/Boris-Popovic,	144,Boris Popovic,https://www.whoscored.com/Teams/885/Show/Belgium-Cercle-Bruges,"Cercle Bruges, ",24,",  D(C)  ",33,2902	,2	,1	,3	,0.7	,59.1	,3.9	,1	,6.62
https://www.whoscored.com/Players/43393/Show/Roman-Neust%C3%A4dter,	145,Roman Neustädter,https://www.whoscored.com/Teams/238/Show/Belgium-Westerlo,"Westerlo, ",36,",  D(C),M(C)  ",21(7),1901	,1	,1	,4	,0.4	,85.9	,1	,1	,6.62
https://www.whoscored.com/Players/363717/Show/Francis-Amuzu,	146,Francis Amuzu,https://www.whoscored.com/Teams/240/Show/Belgium-Anderlecht,"Anderlecht, ",24,",  M(LR)  ",26(6),2249	,3	,6	,4	,1.4	,81.7	,0.3	,2	,6.62
