Player_URL,Player,Player1,Player_URL2,Player3,Player4,Player5,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/294744/Show/Luiz-Felipe,	139,Luiz Felipe,https://www.whoscored.com/Teams/54/Show/Spain-Real-Betis,"Real Betis, ",27,",  D(C)  ",22(1),1769	,-	,-	,3	,3	,0.1	,85.5	,1.3	,-	,6.65
https://www.whoscored.com/Players/90782/Show/Sergi-Roberto,	140,Sergi Roberto,https://www.whoscored.com/Teams/65/Show/Spain-Barcelona,"Barcelona, ",32,",  D(R),M(CR)  ",15(8),1309	,4	,1	,3	,-	,0.8	,92.8	,0.3	,-	,6.65
https://www.whoscored.com/Players/322095/Show/Mouctar-Diakhaby,	141,Mouctar Diakhaby,https://www.whoscored.com/Teams/55/Show/Spain-Valencia,"Valencia, ",27,",  D(C),DMC  ",28(1),2449	,3	,-	,5	,1	,0.7	,82.1	,1.7	,1	,6.65
https://www.whoscored.com/Players/320713/Show/Joseph-Aidoo,	142,Joseph Aidoo,https://www.whoscored.com/Teams/62/Show/Spain-Celta-Vigo,"Celta Vigo, ",28,",  D(C)  ",35,3121	,3	,-	,4	,1	,0.4	,86.6	,1.8	,2	,6.65
https://www.whoscored.com/Players/315566/Show/Igor-Zubeldia,	143,Igor Zubeldia,https://www.whoscored.com/Teams/68/Show/Spain-Real-Sociedad,"Real Sociedad, ",27,",  D(C),DMC  ",29(2),2547	,1	,1	,10	,-	,0.2	,85.7	,1.9	,1	,6.64
https://www.whoscored.com/Players/397587/Show/Luiz-Henrique,	144,Luiz Henrique,https://www.whoscored.com/Teams/54/Show/Spain-Real-Betis,"Real Betis, ",23,",  AM(LR)  ",21(12),1816	,1	,3	,6	,-	,1.3	,76.3	,0.8	,2	,6.64
https://www.whoscored.com/Players/367857/Show/Ander-Barrenetxea,	145,Ander Barrenetxea,https://www.whoscored.com/Teams/68/Show/Spain-Real-Sociedad,"Real Sociedad, ",22,",  M(LR)  ",9(14),874	,3	,1	,4	,-	,0.8	,77.2	,0.5	,-	,6.64
https://www.whoscored.com/Players/79929/Show/Hugo-Mallo,	146,Hugo Mallo,https://www.whoscored.com/Teams/62/Show/Spain-Celta-Vigo,"Celta Vigo, ",32,",  D(CR),M(R)  ",26,2171	,-	,1	,5	,1	,0.7	,79.3	,2	,1	,6.64
https://www.whoscored.com/Players/16942/Show/%C3%93scar-Trejo,	147,Óscar Trejo,https://www.whoscored.com/Teams/64/Show/Spain-Rayo-Vallecano,"Rayo Vallecano, ",36,",  M(CLR),FW  ",28(6),2164	,3	,4	,9	,-	,0.7	,83	,0.3	,1	,6.64
https://www.whoscored.com/Players/132962/Show/Thomas-Lemar,	148,Thomas Lemar,https://www.whoscored.com/Teams/63/Show/Spain-Atletico,"Atletico, ",28,",  AM(CLR)  ",17(10),1259	,1	,3	,1	,-	,0.5	,88.4	,0.2	,-	,6.63
https://www.whoscored.com/Players/261516/Show/Mikel-Vesga,	149,Mikel Vesga,https://www.whoscored.com/Teams/53/Show/Spain-Athletic-Club,"Athletic Club, ",31,",  DMC  ",28(8),2576	,3	,3	,5	,-	,0.8	,84.2	,1.8	,-	,6.63
https://www.whoscored.com/Players/106595/Show/Carlos-Clerc,	150,Carlos Clerc,https://www.whoscored.com/Teams/833/Show/Spain-Elche,"Elche, ",32,",  D(CL),M(L)  ",31(1),2647	,-	,1	,5	,-	,0.3	,77.8	,0.6	,-	,6.63
https://www.whoscored.com/Players/259042/Show/Borja-Iglesias,	151,Borja Iglesias,https://www.whoscored.com/Teams/54/Show/Spain-Real-Betis,"Real Betis, ",31,",  FW  ",29(6),2385	,15	,3	,2	,1	,1.8	,76	,0.7	,2	,6.63
https://www.whoscored.com/Players/395321/Show/Aimar-Oroz,	152,Aimar Oroz,https://www.whoscored.com/Teams/131/Show/Spain-Osasuna,"Osasuna, ",22,",  AM(C)  ",23(8),2023	,3	,6	,6	,-	,0.7	,80.3	,0.5	,3	,6.63
https://www.whoscored.com/Players/382631/Show/Rodrigo-Riquelme,	153,Rodrigo Riquelme,https://www.whoscored.com/Teams/2783/Show/Spain-Girona,"Girona, ",24,",  D(L),M(CL)  ",25(9),2188	,4	,4	,1	,-	,1.6	,75.9	,0.3	,2	,6.63
https://www.whoscored.com/Players/279320/Show/Luis-Milla,	154,Luis Milla,https://www.whoscored.com/Teams/819/Show/Spain-Getafe,"Getafe, ",29,",  DMC  ",22(5),1862	,-	,3	,4	,1	,0.3	,82.1	,0.6	,-	,6.63
https://www.whoscored.com/Players/142387/Show/Martin-Valjent,	155,Martin Valjent,https://www.whoscored.com/Teams/51/Show/Spain-Mallorca,"Mallorca, ",28,",  D(C)  ",30,2659	,-	,-	,8	,-	,0.2	,80.4	,1.2	,-	,6.62
https://www.whoscored.com/Players/106875/Show/Nacho,	156,Nacho,https://www.whoscored.com/Teams/52/Show/Spain-Real-Madrid,"Real Madrid, ",34,",  D(CLR)  ",18(9),1632	,1	,1	,7	,-	,0.3	,93	,1.3	,-	,6.62
https://www.whoscored.com/Players/368091/Show/Eric-Garc%C3%ADa,	157,Eric García,https://www.whoscored.com/Teams/65/Show/Spain-Barcelona,"Barcelona, ",23,",  D(CR)  ",15(9),1414	,1	,-	,3	,-	,0.3	,91	,1	,-	,6.62
https://www.whoscored.com/Players/367583/Show/Aihen-Mu%C3%B1oz,	158,Aihen Muñoz,https://www.whoscored.com/Teams/68/Show/Spain-Real-Sociedad,"Real Sociedad, ",26,",  D(L)  ",20(3),1758	,-	,1	,2	,-	,0.3	,80.2	,1	,-	,6.62
https://www.whoscored.com/Players/336251/Show/Kike-Barja,	159,Kike Barja,https://www.whoscored.com/Teams/131/Show/Spain-Osasuna,"Osasuna, ",27,",  AM(LR)  ",15(12),1316	,1	,6	,1	,-	,0.6	,76.1	,0.3	,-	,6.61
https://www.whoscored.com/Players/116227/Show/L%C3%A9o-Baptist%C3%A3o,	160,Léo Baptistão,https://www.whoscored.com/Teams/1799/Show/Spain-Almeria,"Almeria, ",31,",  AM(CLR),FW  ",24(4),1746	,5	,2	,7	,-	,1.6	,67.9	,1	,3	,6.61
https://www.whoscored.com/Players/374638/Show/Alejandro-Catena,	161,Alejandro Catena,https://www.whoscored.com/Teams/64/Show/Spain-Rayo-Vallecano,"Rayo Vallecano, ",29,",  D(C)  ",35,3105	,1	,1	,12	,1	,0.4	,82.9	,2.3	,-	,6.61
https://www.whoscored.com/Players/90115/Show/A%C3%AFssa-Mandi,	162,Aïssa Mandi,https://www.whoscored.com/Teams/839/Show/Spain-Villarreal,"Villarreal, ",32,",  D(CLR)  ",16(5),1460	,-	,-	,1	,-	,0.1	,90.8	,1	,-	,6.61
https://www.whoscored.com/Players/422770/Show/Brian-Oliv%C3%A1n,	163,Brian Oliván,https://www.whoscored.com/Teams/70/Show/Spain-Espanyol,"Espanyol, ",30,",  D(CL)  ",29(1),2413	,1	,7	,7	,-	,0.5	,70.1	,0.6	,-	,6.60
https://www.whoscored.com/Players/447631/Show/C%C3%A9sar-Montes,	164,César Montes,https://www.whoscored.com/Teams/70/Show/Spain-Espanyol,"Espanyol, ",27,",  D(C)  ",18(2),1589	,3	,-	,7	,-	,0.7	,78.2	,3.4	,1	,6.60
https://www.whoscored.com/Players/6227/Show/Dani-Rodr%C3%ADguez,	165,Dani Rodríguez,https://www.whoscored.com/Teams/51/Show/Spain-Mallorca,"Mallorca, ",35,",  AM(CLR)  ",26(9),2115	,3	,6	,8	,-	,0.7	,82	,0.3	,2	,6.60
https://www.whoscored.com/Players/374869/Show/Carles-P%C3%A9rez,	166,Carles Pérez,https://www.whoscored.com/Teams/62/Show/Spain-Celta-Vigo,"Celta Vigo, ",26,",  AM(CR),FW  ",23(12),2150	,3	,5	,4	,-	,1.5	,86.1	,0.2	,2	,6.60
https://www.whoscored.com/Players/328643/Show/Jawad-El-Yamiq,	167,Jawad El Yamiq,https://www.whoscored.com/Teams/58/Show/Spain-Real-Valladolid,"Real Valladolid, ",32,",  D(C)  ",19(6),1612	,1	,-	,2	,1	,0.7	,81.6	,1.7	,-	,6.59
https://www.whoscored.com/Players/136392/Show/Th%C3%A9o-Bongonda,	168,Théo Bongonda,https://www.whoscored.com/Teams/1354/Show/Spain-Cadiz,"Cadiz, ",28,",  AM(CLR)  ",24(7),1951	,4	,3	,2	,-	,1.4	,76.1	,0.5	,1	,6.59
https://www.whoscored.com/Players/422958/Show/%C3%93scar-Valent%C3%ADn,	169,Óscar Valentín,https://www.whoscored.com/Teams/64/Show/Spain-Rayo-Vallecano,"Rayo Vallecano, ",29,",  DMC  ",29(5),2564	,-	,-	,11	,-	,0.4	,81.9	,0.8	,-	,6.59
https://www.whoscored.com/Players/395242/Show/%C3%81lex-Baena,	170,Álex Baena,https://www.whoscored.com/Teams/839/Show/Spain-Villarreal,"Villarreal, ",22,",  AM(CL),FW  ",19(16),1947	,6	,2	,11	,1	,1.8	,81.6	,0.1	,2	,6.59
https://www.whoscored.com/Players/303707/Show/Chimy-%C3%81vila,	171,Chimy Ávila,https://www.whoscored.com/Teams/131/Show/Spain-Osasuna,"Osasuna, ",30,",  AM(LR),FW  ",23(6),1724	,8	,2	,7	,1	,2.3	,60.4	,1.2	,3	,6.59
https://www.whoscored.com/Players/357839/Show/Dani-Vivian,	172,Dani Vivian,https://www.whoscored.com/Teams/53/Show/Spain-Athletic-Club,"Athletic Club, ",24,",  D(C)  ",26(3),2374	,1	,-	,8	,1	,0.4	,81.5	,1.4	,-	,6.59
https://www.whoscored.com/Players/422939/Show/Nico-Gonz%C3%A1lez,	173,Nico González,https://www.whoscored.com/Teams/55/Show/Spain-Valencia,"Valencia, ",22,",  DMC  ",18(8),1410	,1	,1	,1	,-	,0.5	,87.4	,1	,-	,6.59
https://www.whoscored.com/Players/39722/Show/David-Alaba,	174,David Alaba,https://www.whoscored.com/Teams/52/Show/Spain-Real-Madrid,"Real Madrid, ",31,",  D(CL),M(CL)  ",21(2),1841	,1	,3	,3	,-	,0.6	,89.3	,0.5	,-	,6.58
https://www.whoscored.com/Players/444241/Show/Santiago-Bueno,	175,Santiago Bueno,https://www.whoscored.com/Teams/2783/Show/Spain-Girona,"Girona, ",25,",  D(C)  ",34,3012	,-	,1	,5	,1	,0.4	,86.6	,2.2	,-	,6.58
https://www.whoscored.com/Players/402087/Show/Tete-Morente,	176,Tete Morente,https://www.whoscored.com/Teams/833/Show/Spain-Elche,"Elche, ",27,",  M(CLR)  ",23(9),2073	,4	,-	,5	,-	,1.4	,80.8	,1.1	,1	,6.58
https://www.whoscored.com/Players/2987/Show/Pepe-Reina,	177,Pepe Reina,https://www.whoscored.com/Teams/839/Show/Spain-Villarreal,"Villarreal, ",41,",  GK  ",22,1980	,-	,-	,2	,-	,-	,77.4	,0.1	,-	,6.58
https://www.whoscored.com/Players/261698/Show/Gonzalo-Melero,	178,Gonzalo Melero,https://www.whoscored.com/Teams/1799/Show/Spain-Almeria,"Almeria, ",30,",  M(C),FW  ",24(3),1877	,4	,3	,5	,-	,0.9	,86.8	,0.6	,-	,6.58
https://www.whoscored.com/Players/387160/Show/Edgar-Gonz%C3%A1lez,	179,Edgar González,https://www.whoscored.com/Teams/54/Show/Spain-Real-Betis,"Real Betis, ",27,",  D(C),DMC  ",18(7),1770	,-	,-	,4	,2	,0.4	,89.1	,2	,-	,6.58
https://www.whoscored.com/Players/303910/Show/Franco-Cervi,	180,Franco Cervi,https://www.whoscored.com/Teams/62/Show/Spain-Celta-Vigo,"Celta Vigo, ",29,",  D(L),M(CL)  ",21(15),1898	,-	,4	,2	,1	,0.6	,77.6	,0.3	,-	,6.57
https://www.whoscored.com/Players/31958/Show/Fernando,	181,Fernando,https://www.whoscored.com/Teams/67/Show/Spain-Sevilla,"Sevilla, ",36,",  D(C),DMC  ",19(3),1581	,-	,1	,3	,1	,0.3	,88.7	,0.9	,-	,6.57
https://www.whoscored.com/Players/238773/Show/Samu-Castillejo,	182,Samu Castillejo,https://www.whoscored.com/Teams/55/Show/Spain-Valencia,"Valencia, ",29,",  AM(CLR),FW  ",17(8),1371	,4	,-	,7	,-	,1.5	,84.7	,0.3	,-	,6.57
https://www.whoscored.com/Players/395579/Show/Kike-P%C3%A9rez,	183,Kike Pérez,https://www.whoscored.com/Teams/58/Show/Spain-Real-Valladolid,"Real Valladolid, ",27,",  M(C)  ",28(8),2319	,1	,2	,9	,-	,1.3	,79.3	,0.9	,-	,6.57
https://www.whoscored.com/Players/80758/Show/Florian-Lejeune,	184,Florian Lejeune,https://www.whoscored.com/Teams/64/Show/Spain-Rayo-Vallecano,"Rayo Vallecano, ",32,",  D(C)  ",31,2570	,4	,-	,4	,3	,1.3	,79.1	,1.9	,1	,6.57
https://www.whoscored.com/Players/278722/Show/Iv%C3%A1n-S%C3%A1nchez,	185,Iván Sánchez,https://www.whoscored.com/Teams/58/Show/Spain-Real-Valladolid,"Real Valladolid, ",31,",  AM(CR)  ",13(12),1122	,1	,1	,-	,-	,0.7	,84.4	,0.1	,1	,6.57
https://www.whoscored.com/Players/395188/Show/Rodri,	186,Rodri,https://www.whoscored.com/Teams/54/Show/Spain-Real-Betis,"Real Betis, ",23,",  AM(CLR)  ",19(11),1610	,2	,3	,-	,-	,0.5	,89.9	,0.1	,1	,6.57
https://www.whoscored.com/Players/395788/Show/Miguel-Guti%C3%A9rrez,	187,Miguel Gutiérrez,https://www.whoscored.com/Teams/2783/Show/Spain-Girona,"Girona, ",22,",  D(L),M(L)  ",27(7),2400	,2	,3	,6	,-	,0.5	,85.8	,0.3	,-	,6.57
https://www.whoscored.com/Players/444257/Show/Iv%C3%A1n-Fresneda,	188,Iván Fresneda,https://www.whoscored.com/Teams/58/Show/Spain-Real-Valladolid,"Real Valladolid, ",19,",  D(R)  ",18(4),1776	,-	,-	,3	,-	,0.2	,80.7	,0.4	,-	,6.56
https://www.whoscored.com/Players/73494/Show/Martin-Braithwaite,	189,Martin Braithwaite,https://www.whoscored.com/Teams/70/Show/Spain-Espanyol,"Espanyol, ",32,",  AM(CLR),FW  ",29(2),2468	,10	,2	,5	,1	,1.9	,68.9	,1.5	,2	,6.56
https://www.whoscored.com/Players/112161/Show/Sa%C3%BAl-%C3%91%C3%ADguez,	190,Saúl Ñíguez,https://www.whoscored.com/Teams/63/Show/Spain-Atletico,"Atletico, ",29,",  D(CL),M(CLR)  ",11(20),1091	,3	,1	,8	,-	,0.7	,80.7	,1.3	,1	,6.56
https://www.whoscored.com/Players/296367/Show/Nemanja-Maksimovic,	191,Nemanja Maksimovic,https://www.whoscored.com/Teams/819/Show/Spain-Getafe,"Getafe, ",29,",  M(C)  ",26(3),2069	,-	,-	,3	,-	,0.6	,78.7	,1.6	,-	,6.55
https://www.whoscored.com/Players/323547/Show/Youssef-En-Nesyri,	192,Youssef En-Nesyri,https://www.whoscored.com/Teams/67/Show/Spain-Sevilla,"Sevilla, ",26,",  FW  ",17(14),1660	,8	,1	,4	,-	,1.9	,65.7	,1.9	,-	,6.55
https://www.whoscored.com/Players/391562/Show/Sam%C3%BA-Costa,	193,Samú Costa,https://www.whoscored.com/Teams/1799/Show/Spain-Almeria,"Almeria, ",23,",  DMC  ",22(10),1988	,1	,2	,5	,-	,0.6	,79.9	,1.5	,2	,6.55
https://www.whoscored.com/Players/91978/Show/Geoffrey-Kondogbia,	194,Geoffrey Kondogbia,https://www.whoscored.com/Teams/63/Show/Spain-Atletico,"Atletico, ",31,",  D(C),DMC  ",11(10),1001	,-	,2	,5	,-	,0.5	,89.4	,0.6	,-	,6.55
https://www.whoscored.com/Players/113708/Show/%C3%93liver-Torres,	195,Óliver Torres,https://www.whoscored.com/Teams/67/Show/Spain-Sevilla,"Sevilla, ",29,",  M(CLR)  ",27(5),2149	,3	,1	,2	,-	,0.7	,81.6	,0.2	,2	,6.55
https://www.whoscored.com/Players/402214/Show/L%C3%A1zaro,	196,Lázaro,https://www.whoscored.com/Teams/1799/Show/Spain-Almeria,"Almeria, ",22,",  AM(LR),FW  ",7(12),711	,6	,-	,1	,-	,1.3	,80.3	,0.3	,1	,6.55
https://www.whoscored.com/Players/372473/Show/Iv%C3%A1n-Mart%C3%ADn,	197,Iván Martín,https://www.whoscored.com/Teams/2783/Show/Spain-Girona,"Girona, ",25,",  M(CR)  ",18(6),1592	,3	,3	,2	,-	,0.8	,85.1	,0.5	,-	,6.55
https://www.whoscored.com/Players/382234/Show/Ansu-Fati,	198,Ansu Fati,https://www.whoscored.com/Teams/65/Show/Spain-Barcelona,"Barcelona, ",21,",  AM(L),FW  ",12(24),1382	,7	,3	,3	,-	,1.7	,84.8	,0.2	,-	,6.55
https://www.whoscored.com/Players/25191/Show/Axel-Witsel,	199,Axel Witsel,https://www.whoscored.com/Teams/63/Show/Spain-Atletico,"Atletico, ",35,",  D(C),M(C)  ",25(8),2255	,-	,-	,2	,1	,0.3	,92.7	,1.2	,-	,6.55
https://www.whoscored.com/Players/291686/Show/%C3%8D%C3%B1igo-Lekue,	200,Íñigo Lekue,https://www.whoscored.com/Teams/53/Show/Spain-Athletic-Club,"Athletic Club, ",30,",  D(LR),M(LR)  ",14(6),1323	,-	,1	,1	,-	,0.5	,81	,0.9	,-	,6.54
https://www.whoscored.com/Players/87094/Show/Asier-Illarramendi,	201,Asier Illarramendi,https://www.whoscored.com/Teams/68/Show/Spain-Real-Sociedad,"Real Sociedad, ",34,",  M(C)  ",13(11),1077	,1	,-	,5	,-	,0.5	,86.2	,0.7	,-	,6.54
