Player_URL,Player,Player1,Player_URL2,Player3,Player4,Player5,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/405560/Show/Daan-Rots,	247,Daan Rots,https://www.whoscored.com/Teams/113/Show/Netherlands-Twente,"Twente, ",22,",  AM(R)  ",5(17),668	,-	,-	,-	,-	,0.5	,78.4	,0.5	,-	,6.34
https://www.whoscored.com/Players/328549/Show/Deroy-Duarte,	248,Deroy Duarte,https://www.whoscored.com/Teams/242/Show/Netherlands-Fortuna-Sittard,"Fortuna Sittard, ",24,",  M(CLR)  ",17(9),1435	,1	,1	,3	,-	,0.2	,77.2	,0.7	,-	,6.34
https://www.whoscored.com/Players/288859/Show/Gerrit-Nauber,	249,Gerrit Nauber,https://www.whoscored.com/Teams/874/Show/Netherlands-Go-Ahead-Eagles,"Go Ahead Eagles, ",32,",  D(C)  ",12(7),1127	,-	,-	,1	,-	,0.4	,85.1	,1.2	,-	,6.34
https://www.whoscored.com/Players/381814/Show/Dogan-Erdogan,	250,Dogan Erdogan,https://www.whoscored.com/Teams/242/Show/Netherlands-Fortuna-Sittard,"Fortuna Sittard, ",27,",  DMC  ",19(8),1698	,-	,-	,2	,2	,0.1	,76.6	,0.7	,-	,6.33
https://www.whoscored.com/Players/299511/Show/Jordy-Bruijn,	251,Jordy Bruijn,https://www.whoscored.com/Teams/116/Show/Netherlands-NEC-Nijmegen,"NEC Nijmegen, ",27,",  M(CLR),FW  ",4(15),567	,2	,1	,1	,-	,0.7	,83	,0.2	,-	,6.33
https://www.whoscored.com/Players/413273/Show/Remy-Vita,	252,Remy Vita,https://www.whoscored.com/Teams/242/Show/Netherlands-Fortuna-Sittard,"Fortuna Sittard, ",23,",  D(L),M(L)  ",10(17),1184	,2	,-	,-	,-	,0.3	,81.9	,0.1	,-	,6.32
https://www.whoscored.com/Players/404764/Show/Tibor-Halilovic,	253,Tibor Halilovic,https://www.whoscored.com/Teams/287/Show/Netherlands-SC-Heerenveen,"SC Heerenveen, ",29,",  M(C)  ",7(12),677	,-	,-	,1	,1	,1.1	,83.2	,0.3	,-	,6.32
https://www.whoscored.com/Players/349777/Show/Michael-Breij,	254,Michael Breij,https://www.whoscored.com/Teams/241/Show/Netherlands-Cambuur,"Cambuur, ",27,",  AM(CR)  ",16(16),1458	,2	,2	,3	,-	,0.9	,77.1	,0.3	,-	,6.32
https://www.whoscored.com/Players/261017/Show/Henk-Veerman,	255,Henk Veerman,https://www.whoscored.com/Teams/762/Show/Netherlands-FC-Volendam,"FC Volendam, ",33,",  FW  ",11(18),1332	,4	,1	,1	,-	,1.2	,61.2	,1.3	,-	,6.31
https://www.whoscored.com/Players/367813/Show/Pedro-Marques,	256,Pedro Marques,https://www.whoscored.com/Teams/116/Show/Netherlands-NEC-Nijmegen,"NEC Nijmegen, ",26,",  FW  ",7(23),806	,5	,3	,2	,-	,0.7	,72.3	,0.9	,-	,6.30
https://www.whoscored.com/Players/379712/Show/Sa%C3%AFd-Bakari,	257,Saïd Bakari,https://www.whoscored.com/Teams/114/Show/Netherlands-RKC-Waalwijk,"RKC Waalwijk, ",29,",  D(LR),M(CLR)  ",2(24),738	,-	,2	,-	,-	,0.4	,79.5	,0.1	,-	,6.30
https://www.whoscored.com/Players/361897/Show/Jamie-Jacobs,	258,Jamie Jacobs,https://www.whoscored.com/Teams/241/Show/Netherlands-Cambuur,"Cambuur, ",26,",  M(C)  ",18(9),1510	,2	,-	,2	,1	,1.7	,67.3	,1	,-	,6.30
https://www.whoscored.com/Players/445053/Show/Nikolas-Agrafiotis,	259,Nikolas Agrafiotis,https://www.whoscored.com/Teams/867/Show/Netherlands-Excelsior,"Excelsior, ",24,",  FW  ",5(12),558	,2	,-	,2	,-	,0.9	,57.9	,2.1	,-	,6.30
https://www.whoscored.com/Players/409221/Show/Francisco-Concei%C3%A7%C3%A3o,	260,Francisco Conceição,https://www.whoscored.com/Teams/130/Show/Netherlands-Ajax,"Ajax, ",21,",  AM(R)  ",4(15),514	,-	,3	,3	,-	,1	,81.2	,0.2	,-	,6.30
https://www.whoscored.com/Players/444721/Show/Walid-Ould-Chikh,	261,Walid Ould-Chikh,https://www.whoscored.com/Teams/762/Show/Netherlands-FC-Volendam,"FC Volendam, ",24,",  Midfielder  ",4(23),686	,1	,1	,1	,-	,0.6	,67.3	,0.3	,-	,6.29
https://www.whoscored.com/Players/399824/Show/Jasin-Amin-Assehnoun,	262,Jasin-Amin Assehnoun,https://www.whoscored.com/Teams/875/Show/Netherlands-FC-Emmen,"FC Emmen, ",25,",  Forward  ",4(25),713	,1	,1	,4	,-	,0.6	,80.9	,0.3	,-	,6.27
https://www.whoscored.com/Players/411278/Show/Jeremy-van-Mullem,	263,Jeremy van Mullem,https://www.whoscored.com/Teams/303/Show/Netherlands-Sparta-Rotterdam,"Sparta Rotterdam, ",25,",  DMC  ",7(20),926	,-	,-	,3	,-	,0.3	,72.1	,0.7	,-	,6.26
https://www.whoscored.com/Players/406754/Show/Reda-Kharchouch,	264,Reda Kharchouch,https://www.whoscored.com/Teams/867/Show/Netherlands-Excelsior,"Excelsior, ",28,",  FW  ",13(16),1233	,2	,1	,3	,-	,1	,63.9	,1.6	,1	,6.25
https://www.whoscored.com/Players/393412/Show/Remco-Balk,	265,Remco Balk,https://www.whoscored.com/Teams/241/Show/Netherlands-Cambuur,"Cambuur, ",23,",  AM(LR)  ",12(18),1182	,1	,-	,5	,-	,0.7	,70.2	,0.3	,-	,6.24
https://www.whoscored.com/Players/414250/Show/Mohamed-Sankoh,	266,Mohamed Sankoh,https://www.whoscored.com/Teams/255/Show/Netherlands-Vitesse,"Vitesse, ",20,",  FW  ",6(15),756	,2	,2	,1	,-	,1	,63.3	,0.8	,-	,6.24
https://www.whoscored.com/Players/355132/Show/Rashaan-Fernandes,	267,Rashaan Fernandes,https://www.whoscored.com/Teams/874/Show/Netherlands-Go-Ahead-Eagles,"Go Ahead Eagles, ",25,",  AM(L)  ",7(12),715	,-	,1	,1	,1	,0.6	,75.4	,0.3	,-	,6.23
https://www.whoscored.com/Players/415927/Show/Luciano-Valente,	268,Luciano Valente,https://www.whoscored.com/Teams/758/Show/Netherlands-FC-Groningen,"FC Groningen, ",20,",  AM(C)  ",9(11),871	,-	,-	,4	,-	,0.4	,72.4	,0.8	,-	,6.23
https://www.whoscored.com/Players/401021/Show/Enzo-Cornelisse,	269,Enzo Cornelisse,https://www.whoscored.com/Teams/255/Show/Netherlands-Vitesse,"Vitesse, ",21,",  D(CL),DMC  ",15(5),1341	,-	,-	,1	,-	,0.4	,82.9	,1	,-	,6.20
https://www.whoscored.com/Players/137368/Show/Damil-Dankerlui,	270,Damil Dankerlui,https://www.whoscored.com/Teams/758/Show/Netherlands-FC-Groningen,"FC Groningen, ",27,",  D(R),M(CR)  ",6(12),777	,-	,1	,2	,-	,0.2	,71.5	,0.7	,-	,6.20
https://www.whoscored.com/Players/348644/Show/Sylla-Sow,	271,Sylla Sow,https://www.whoscored.com/Teams/874/Show/Netherlands-Go-Ahead-Eagles,"Go Ahead Eagles, ",27,",  AM(LR),FW  ",0(24),514	,1	,-	,-	,-	,0.6	,76.1	,0.3	,-	,6.15
https://www.whoscored.com/Players/100608/Show/Mike-van-Duinen,	272,Mike van Duinen,https://www.whoscored.com/Teams/867/Show/Netherlands-Excelsior,"Excelsior, ",32,",  AM(LR),FW  ",9(19),986	,-	,-	,4	,-	,0.9	,61.6	,1.4	,-	,6.15
https://www.whoscored.com/Players/321193/Show/Rami-Kaib,	273,Rami Kaib,https://www.whoscored.com/Teams/287/Show/Netherlands-SC-Heerenveen,"SC Heerenveen, ",26,",  D(L),M(L)  ",5(16),574	,1	,-	,2	,-	,0.3	,66.5	,0.2	,-	,6.14
https://www.whoscored.com/Players/123554/Show/Sven-Nieuwpoort,	274,Sven Nieuwpoort,https://www.whoscored.com/Teams/867/Show/Netherlands-Excelsior,"Excelsior, ",31,",  D(CR)  ",22(1),1695	,-	,-	,1	,-	,0.3	,88.9	,0.7	,-	,6.14
